"OptionSet","Exploit","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","Activity","Accident","WrongAttrib","PrecPower","PrecLevel","BCRatio","PrecPower1","PrecPower2","PrecPower3","PrecPower4","PrecPower5","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"Risk Neutral CM 1 Noise 4,4 LT 1.2","0","37","All",1,0.99993,7.04259E-05,0.500003,7.11E-11,3.02647E-11,1,7.04259E-05,9.99939E-06,3.00001,3,0.888957,0.199997,0.199999,0.2,0.200001,0.200003,1,1,0.313766,0.284618,,,2.71578E-11,,,,,1.18988E-17,1.0257E-23,3.11E-12,0.398012,9.99993,9.99997,19.9999,0.000100426,9.99993,9.99997,1.68108E-11,1.844E-11,1.4002E-5,1.40024E-5,1.43923E-11,1.40023E-05,9.04267E-05,9.04267E-05,3.00002E-05,6.04265E-05,1.20024E-05,4.84241E-05,0,2.7158E-11,0.292461,1.18988E-17,1.0257E-23,2.25633E-24,0.198824,0,0,0.189193,0.205314,0.210985,0.205314,0.189193,0.189193,0.205314,0.210985,0.205314,0.189193,7.11E-11,3.02647E-11,1,4.08358E-11,2.71578E-11,1.18988E-17,1.0257E-23,1.8703E-12,1.237E-12
"Risk Neutral CM 1 Noise 4,4 LT 1.2","0","37","NoDispute",0.9999,1,0,0.500003,0,0,1,0,0,3.00001,3,0.888957,0.199997,0.199999,0.2,0.200001,0.200003,1,1,,,,,0,,,,,0,0,0,,10,9.99997,20,3.00002E-05,10,9.99997,0,0,0,0,0,0,3.00002E-05,3.00002E-05,3.00002E-05,0,0,0,0,0,,0,0,0,,0,0,0.189193,0.205314,0.210985,0.205314,0.189194,0.189193,0.205314,0.210985,0.205314,0.189194,0,0,1,0,0,0,0,0,0
"Risk Neutral CM 1 Noise 4,4 LT 1.2","0","37","DisputeArises",7E-05,0,1,0.498811,1.0096E-6,4.29738E-07,1,1,0.141985,2.99405,3,0.887761,0.2012,0.200591,0.199988,0.199397,0.198824,1,1,0.313766,0.284618,,,3.85623E-07,,,,,1.68954E-13,1.45643E-19,4.411E-8,0.398012,9,9.99997,19,1.00003,9,9.99997,2.38702E-07,2.6183E-7,0.198824,0.198824,2.04361E-07,0.198824,0.858045,0.858046,3E-05,0.858015,0.170426,0.68759,0,3.85623E-7,0.292461,1.68954E-13,1.45643E-19,3.20384E-20,0.198824,0,-1.68081E-14,0.193951,0.207903,0.210979,0.20272,0.184446,0.193951,0.207903,0.210979,0.20272,0.184446,1.00958E-6,4.29738E-07,0.999999,5.79841E-07,3.85623E-07,1.68954E-13,1.45643E-19,2.65566E-8,1.7558E-8
"Risk Neutral CM 1 Noise 4,4 LT 1.2","0","37","PFiles",7E-11,0,1,0.49952,1,0.42566,1,1,0.112553,2.9976,1.3143,1.36411,0.200479,0.200241,0.200001,0.19976,0.19952,1,1,0.313766,0.284618,,,0.381964,,,,,1.67351E-07,1.44261E-13,0.043696,0.398012,9.55651,9.20704,18.7635,1.23645,9.55651,9.20704,0.236437,0.259342,0.154818,0.41416,0.202422,0.10338,0.88746,1.1239,1.3143E-05,0.887447,0.527628,0.35982,0,0.381964,0.292461,1.67351E-07,1.44261E-13,3.17344E-14,0.589531,0,-3.86844E-14,0.191136,0.20637,0.210982,0.204255,0.187257,0.191136,0.20637,0.210982,0.204255,0.187257,1,0.42566,0,0.57434,0.381964,1.67351E-07,1.44261E-13,0.0263046,0.0173917
"Risk Neutral CM 1 Noise 4,4 LT 1.2","0","37","DAnswers",3E-11,0,1,0.499073,1,1,1,1,0.132212,2.99536,2.46559,1.04772,0.200908,0.200474,0.200018,0.199544,0.199056,1,1,0.313766,0.284618,,,0.897344,,,,,3.93157E-07,3.38910E-13,0.102655,0.398012,9.09303,9.48641,18.5794,1.42056,9.09303,9.48641,0.420531,0.339195,0.25579,0.594985,0.205473,0.232077,0.867813,1.28834,2.46559E-05,0.867788,0.266099,0.60169,0,0.897344,0.292461,3.93157E-07,3.38910E-13,7.45534E-14,0.305763,0,-1.62292E-13,0.192956,0.207361,0.21098,0.203263,0.185441,0.192956,0.207361,0.21098,0.203263,0.185441,1,1,0,0,0.897344,3.93157E-07,3.38910E-13,0.0617972,0.0408581
"Risk Neutral CM 1 Noise 4,4 LT 1.2","0","37","Litigated",3E-11,0,1,0.499073,1,1,1,1,0.132212,2.99536,2.46559,1.04772,0.200908,0.200474,0.200018,0.199544,0.199056,1,1,0.313766,0.284618,,,0.897344,,,,,3.93157E-07,3.38910E-13,0.102655,0.398012,9.09303,9.48641,18.5794,1.42056,9.09303,9.48641,0.420531,0.339195,0.25579,0.594985,0.205473,0.232077,0.867813,1.28834,2.46559E-05,0.867788,0.266099,0.60169,0,0.897344,0.292461,3.93157E-07,3.38910E-13,7.45534E-14,0.305763,0,-1.62292E-13,0.192956,0.207361,0.21098,0.203263,0.185441,0.192956,0.207361,0.21098,0.203263,0.185441,1,1,0,0,0.897344,3.93157E-07,3.38910E-13,0.0617972,0.0408581
"Risk Neutral CM 1 Noise 4,4 LT 1.2","0","37","Not Litigated",1,0.99993,7.04258E-05,0.500003,4.084E-11,0,1,7.04258E-05,9.99939E-06,3.00001,3,0.888957,0.199997,0.199999,0.2,0.200001,0.200003,1,1,,,,,0,,,,,0,0,0,,9.99993,9.99997,19.9999,0.000100426,9.99993,9.99997,4.08358E-12,8.174E-12,1.4002E-5,1.40023E-5,8.1737E-12,1.40023E-05,9.04266E-05,9.04266E-05,3.00002E-05,6.04265E-05,1.20024E-05,4.84241E-05,0,0,,0,0,0,0.198824,0,0,0.189193,0.205314,0.210985,0.205314,0.189193,0.189193,0.205314,0.210985,0.205314,0.189193,4.0836E-11,0,1,4.08358E-11,0,0,0,0,0
"Risk Neutral CM 1 Noise 4,4 LT 1.2","0","37","Settles",3E-11,0,1,0.50465,1,1,1,1,0.133399,3.02325,2.51885,1.03826,0.195151,0.19777,0.200203,0.202432,0.204444,1,1,0.292461,0.292461,,,1,,,,,0,0,0,,9.09246,9.50751,18.6,1.40003,9.09246,9.50751,0.4,0.321331,0.253657,0.574988,0.175049,0.22295,0.866626,1.26663,2.51885E-05,0.866601,0.263771,0.60283,0,1,0.292461,0,0,0,0.30342,0,-0.223841,0.19241,0.207066,0.210982,0.203561,0.185982,0.100631,0.231083,0.235115,0.226516,0.206655,1,1,0,0,1,0,0,0,0
"Risk Neutral CM 1 Noise 4,4 LT 1.2","0","37","Tried",3E-12,0,1,0.450324,1,1,1,1,0.121832,2.75162,2,1.13034,0.251237,0.224113,0.198399,0.174295,0.151957,1,1,0.500001,0.216057,,,0,,,,,0,0,1,0.398012,9.09801,9.30197,18.4,1.60002,9.09801,9.30197,0.6,0.495353,0.274435,0.769788,0.471423,0.311858,0.878188,1.47819,2E-05,0.878168,0.286443,0.591725,0,0,,0,0,0,0.326251,0,1.95667,0.197733,0.209941,0.210955,0.20066,0.180711,0.999997,8.61977E-07,8.79024E-07,8.48841E-07,7.76228E-07,1,1,0,0,0,0,0,0.601988,0.398012
"Risk Neutral CM 1 Noise 4,4 LT 1.2","0","37","PWins",1E-12,0,1,0.484922,1,1,1,1,0.121851,2.92461,2,1.17047,0.212581,0.208873,0.202449,0.193552,0.182545,1,1,0.500001,0.216057,,,0,,,,,0,0,1,1,9.7,8.69998,18.4,1.60002,9.7,8.69998,0.6,0.923902,0.112829,1.03673,1.08824,0.0338488,0.878169,1.47817,2E-05,0.878149,0.330207,0.547942,0,0,,0,0,0,0.376098,0,1.97724,0.193659,0.207753,0.210989,0.202879,0.18472,0.999997,8.71418E-07,8.9848E-07,8.77222E-07,8.10961E-07,1,1,0,0,0,0,0,0,1
