Width,Precaution,TLHarm,TNLHarm,File,Answer,Bargain,Trial,Total
0.000001242,3E-05,0,0,0.025,0.025,0.05,0,0.10003
0.000007129,3E-05,0,1,0.025,0.025,0.05,0,1.10003
0.000001834,3E-05,1,0,0.025,0.025,0.05,0,1.10003
0.000000233,3E-05,0,1,0.025,0.025,0.05,0.05,1.15003
0.127292464,3E-05,0,0,0,0,0,0,3E-05
0.000002747,4E-05,0,0,0.025,0.025,0.05,0,0.10004
0.000017287,4E-05,0,1,0.025,0.025,0.05,0,1.10004
0.274189024,4E-05,0,0,0,0,0,0,4E-05
0.000003144,0,0,0,0.025,0.025,0.05,0,0.1
0.000018044,0,0,1,0.025,0.025,0.05,0,1.1
0.000013398,0,1,0,0.025,0.025,0.05,0,1.1
0.000000780,0,0,0,0.025,0.025,0.05,0.05,0.15
0.000004415,0,0,1,0.025,0.025,0.05,0.05,1.15
0.000003389,0,1,0,0.025,0.025,0.05,0.05,1.15
0.392414460,0,0,0,0,0,0,0,0
0.000001236,1E-05,0,0,0.025,0.025,0.05,0,0.10001
0.000007312,1E-05,0,1,0.025,0.025,0.05,0,1.10001
0.000003802,1E-05,1,0,0.025,0.025,0.05,0,1.10001
0.000000106,1E-05,0,0,0.025,0.025,0.05,0.05,0.15001
0.000000695,1E-05,0,1,0.025,0.025,0.05,0.05,1.15001
0.000000250,1E-05,1,0,0.025,0.025,0.05,0.05,1.15001
0.134143821,1E-05,0,0,0,0,0,0,1E-05
0.000000719,2E-05,0,0,0.025,0.025,0.05,0,0.10002
0.000005089,2E-05,0,1,0.025,0.025,0.05,0,1.10002
0.000000691,2E-05,1,0,0.025,0.025,0.05,0,1.10002
0.071866692,2E-05,0,0,0,0,0,0,2E-05
