"OptionSet","Exploit","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","Activity","Accident","WrongAttrib","PrecPower","PrecLevel","BCRatio","PrecPower1","PrecPower2","PrecPower3","PrecPower4","PrecPower5","PrecPower6","PrecPower7","PrecPower8","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","PLiabilitySignal6","PLiabilitySignal7","PLiabilitySignal8","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","DLiabilitySignal6","DLiabilitySignal7","DLiabilitySignal8","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"Risk Neutral CM 4 FSM 1 DM 0.5 LT 0.8 UPC 1.2E-05","0","351","All",1,0.99989,0.000109999,0.5,0.00011,2.20086E-11,1,0.000109999,9.999E-06,4.5,5.60224E-06,0.891194,0.125,0.125,0.125,0.125,0.124999,0.124999,0.125,0.125001,1,1,0.937499,0.501948,,,5.06239E-12,,,,,5.75015E-12,9.85893E-12,1.34E-12,0.430749,9.9999,9.99995,19.9998,0.000153999,9.9999,9.99995,4.39996E-05,2.0925E-5,6.1334E-5,8.22591E-5,1.04625E-05,5.52007E-05,0.0001,0.000144,2.67307E-10,9.99999E-05,6.19542E-05,3.80458E-05,0,5.0624E-12,0.468748,5.75015E-12,9.85893E-12,4.04981E-12,0.619542,0,0,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.00011,2.20086E-11,0.99989,0.000109999,5.06239E-12,5.75015E-12,9.85893E-12,7.6115E-13,5.76E-13
"Risk Neutral CM 4 FSM 1 DM 0.5 LT 0.8 UPC 1.2E-05","0","351","NoDispute",0.9999,1,0,0.5,0,0,1,0,0,4.5,5.60246E-06,0.891194,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,1,1,,,,,0,,,,,0,0,0,,10,10,20,2.67332E-10,10,10,0,0,0,0,0,0,2.67332E-10,2.67332E-10,2.67332E-10,0,0,0,0,0,,0,0,0,,0,0,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0,0,1,0,0,0,0,0,0
"Risk Neutral CM 4 FSM 1 DM 0.5 LT 0.8 UPC 1.2E-05","0","351","DisputeArises",0.0001,0,1,0.499479,1,2.0008E-07,1,1,0.0909009,4.49583,3.62896E-06,0.890392,0.127258,0.1263,0.1269,0.125386,0.120124,0.117871,0.123406,0.132755,1,1,0.937499,0.501948,,,4.60222E-08,,,,,5.22746E-08,8.96275E-08,1.216E-8,0.430749,9.1,9.5,18.6,1.4,9.1,9.5,0.4,0.190229,0.557588,0.747817,0.0951146,0.501829,0.909099,1.3091,4.35476E-11,0.909099,0.563225,0.345874,0,4.60222E-8,0.468748,5.22746E-08,8.96275E-08,3.68168E-08,0.619542,0,-7.94233E-14,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,1,2.0008E-07,2.0008E-07,1,4.60222E-08,5.22746E-08,8.96275E-08,6.91966E-9,5.2361E-9
"Risk Neutral CM 4 FSM 1 DM 0.5 LT 0.8 UPC 1.2E-05","0","351","PFiles",0.0001,0,1,0.499479,1,2.0008E-07,1,1,0.0909009,4.49583,3.62896E-06,0.890392,0.127258,0.1263,0.1269,0.125386,0.120124,0.117871,0.123406,0.132755,1,1,0.937499,0.501948,,,4.60222E-08,,,,,5.22746E-08,8.96275E-08,1.216E-8,0.430749,9.1,9.5,18.6,1.4,9.1,9.5,0.4,0.190229,0.557588,0.747817,0.0951146,0.501829,0.909099,1.3091,4.35476E-11,0.909099,0.563225,0.345874,0,4.60222E-8,0.468748,5.22746E-08,8.96275E-08,3.68168E-08,0.619542,0,-6.69020E-14,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,1,2.0008E-07,0,1,4.60222E-08,5.22746E-08,8.96275E-08,6.91966E-9,5.2361E-9
"Risk Neutral CM 4 FSM 1 DM 0.5 LT 0.8 UPC 1.2E-05","0","351","DAnswers",2E-11,0,1,0.499479,1,1,1,1,0.0909009,4.49583,3.62896E-06,0.890392,0.127258,0.1263,0.1269,0.125386,0.120124,0.117871,0.123406,0.132755,1,1,0.937499,0.501948,,,0.230019,,,,,0.261269,0.447958,0.060754,0.430749,8.51049,8.84091,17.3514,2.6486,8.51049,8.84091,1.6486,0.552633,0.831816,1.38445,0.537043,1.16016,0.909099,2.5577,4.35476E-11,0.909099,0.563225,0.345874,0,0.230019,0.468748,0.261269,0.447958,0.18401,0.619542,0,-4.25861E-13,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,1,1,0,0,0.230019,0.261269,0.447958,0.0345845,0.0261699
"Risk Neutral CM 4 FSM 1 DM 0.5 LT 0.8 UPC 1.2E-05","0","351","Litigated",2E-11,0,1,0.499479,1,1,1,1,0.0909009,4.49583,3.62896E-06,0.890392,0.127258,0.1263,0.1269,0.125386,0.120124,0.117871,0.123406,0.132755,1,1,0.937499,0.501948,,,0.230019,,,,,0.261269,0.447958,0.060754,0.430749,8.51049,8.84091,17.3514,2.6486,8.51049,8.84091,1.6486,0.552633,0.831816,1.38445,0.537043,1.16016,0.909099,2.5577,4.35476E-11,0.909099,0.563225,0.345874,0,0.230019,0.468748,0.261269,0.447958,0.18401,0.619542,0,-4.25861E-13,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,1,1,0,0,0.230019,0.261269,0.447958,0.0345845,0.0261699
"Risk Neutral CM 4 FSM 1 DM 0.5 LT 0.8 UPC 1.2E-05","0","351","Not Litigated",1,0.99989,0.000109999,0.5,0.00011,0,1,0.000109999,9.999E-06,4.5,5.60224E-06,0.891194,0.125,0.125,0.125,0.125,0.124999,0.124999,0.125,0.125001,1,1,,,,,0,,,,,0,0,0,,9.9999,9.99995,19.9998,0.000153999,9.9999,9.99995,4.39996E-05,2.0925E-5,6.1334E-5,8.2259E-05,1.04625E-05,5.52006E-05,0.0001,0.000144,2.67307E-10,9.99999E-05,6.19541E-05,3.80458E-05,0,0,,0,0,0,0.619542,0,0,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.00011,0,0.99989,0.000109999,0,0,0,0,0
"Risk Neutral CM 4 FSM 1 DM 0.5 LT 0.8 UPC 1.2E-05","0","351","Settles",5E-12,0,1,0.808506,1,1,1,1,0.090901,6.96805,1.37909E-05,1.11136,0.000194757,0.00135646,0.0073792,0.0286971,0.0795735,0.169544,0.292957,0.420298,1,1,0.937495,0.937496,,,1,,,,,0,0,0,,8.66875,8.73125,17.4,2.6,8.66875,8.73125,1.6,0.27768,1.31936,1.59704,0.0859557,1.7564,0.909099,2.5091,1.65491E-10,0.909099,0.900979,0.00811974,0,1,0.468748,0,0,0,0.991068,0,-1.13622,0.00451674,0.0132688,0.0337333,0.0740363,0.138577,0.215253,0.266904,0.253712,6.78691E-07,8.59799E-07,1.03499E-06,1.13681E-06,1.10036E-06,1.17933E-06,0.55294,0.447054,1,1,0,0,1,0,0,0,0
"Risk Neutral CM 4 FSM 1 DM 0.5 LT 0.8 UPC 1.2E-05","0","351","Tried",1E-12,0,1,0.306181,1,1,1,1,0.0909008,2.94945,5.29823E-07,0.752278,0.140014,0.242724,0.29132,0.211559,0.0876352,0.0221898,0.00398149,0.000575901,1,1,0.9375,0.189552,,,0,,,,,0,0,1,0.430749,7.84917,8.75083,16.6,3.4,7.84917,8.75083,2.4,1.02259,0.451098,1.47368,2.53498,1.20518,0.909099,3.3091,6.35788E-12,0.909099,0.296313,0.612786,0,0,,0,0,0,0.325942,0,3.12424,2.32216E-13,2.43899E-13,1.96263E-13,0.524655,0.280302,0.127712,0.0502329,0.0170974,0.36943,0.63057,3.4222E-07,8.90172E-08,4.95516E-13,5.40347E-13,5.47872E-13,4.58409E-13,1,1,0,0,0,0,0,0.569251,0.430749
"Risk Neutral CM 4 FSM 1 DM 0.5 LT 0.8 UPC 1.2E-05","0","351","PWins",6E-13,0,1,0.386185,1,1,1,1,0.0909008,3.58948,5.32474E-07,0.818109,0.0411197,0.142203,0.290646,0.307012,0.161772,0.046949,0.00897098,0.00132666,1,1,0.9375,0.192872,,,0,,,,,0,0,1,1,9.5,7.1,16.6,3.4,9.5,7.1,2.4,2.37397,0.263015,2.63698,5.88505,0.131508,0.909099,3.3091,6.38968E-12,0.909099,0.478214,0.430885,0,0,,0,0,0,0.526031,0,3.29703,9.19734E-14,1.18653E-13,1.22111E-13,0.427631,0.295069,0.167824,0.0788126,0.0306627,0.307227,0.692773,4.33308E-07,1.06669E-07,9.44432E-13,1.13626E-12,1.20765E-12,1.03497E-12,1,1,0,0,0,0,0,0,1
"Risk Neutral CM 4 FSM 1 DM 0.5 LT 0.8 UPC 1.2E-05","0","351","DWins",8E-13,0,1,0.245643,1,1,1,1,0.0909008,2.46515,5.27818E-07,0.702465,0.214847,0.318788,0.291829,0.139331,0.0315362,0.00345454,0.000205968,7.80399E-06,1,1,0.9375,0.187039,,,0,,,,,0,0,1,0,6.6,10,16.6,3.4,6.6,10,2.4,0,0.593419,0.593419,0,2.01763,0.909099,3.3091,6.33381E-12,0.909099,0.15867,0.750429,0,0,,0,0,0,0.174535,0,2.9935,3.38337E-13,3.38672E-13,2.52373E-13,0.598073,0.269128,0.0973596,0.0286069,0.0068326,0.416498,0.583501,2.73295E-07,7.566E-08,1.55824E-13,8.94236E-14,4.86249E-14,2.21314E-14,1,1,0,0,0,0,0,1,0
"Risk Neutral CM 4 FSM 1 DM 0.5 LT 0.8 UPC 1.2E-05","0","351","Abandoned",2E-11,0,1,0.415812,1,1,1,1,0.0909008,3.8265,5.98688E-07,0.830558,0.167375,0.156848,0.151579,0.149363,0.136059,0.109308,0.0786475,0.0508204,1,1,0.9375,0.38745,,,0,,,,,0.368385,0.631615,0,,8.51581,8.88419,17.4,2.6,8.51581,8.88419,1.6,0.60155,0.706307,1.30786,0.512192,0.96293,0.909099,2.5091,7.18426E-12,0.909099,0.476548,0.432551,0,0,,0.368385,0.631615,0.259452,0.524198,0,0.10087,0.143526,0.175028,0.179557,0.121218,0.121218,0.109746,0.0884655,0.0612412,0.113344,0.125315,0.190497,0.190173,0.190173,0.190497,3.10805E-07,2.25445E-07,1,1,0,0,0,0.368385,0.631615,0,0
"Risk Neutral CM 4 FSM 1 DM 0.5 LT 0.8 UPC 1.2E-05","0","351","PrecPower1",0.125,0.999888,0.000111986,0.0625,0.000112,2.24061E-11,1,0.000111986,1.01796E-05,1,5.60224E-06,0.540118,1,0,0,0,0,0,0,0,1,1,0.937498,0.239838,,,7.88748E-15,,,,,1.75854E-11,3.31506E-12,1.5E-12,0.126504,9.9999,9.99994,19.9998,0.00015678,9.9999,9.99994,4.47943E-05,5.5993E-5,0,5.59928E-5,2.79964E-05,0,0.000101806,0.000146601,2.67307E-10,0.000101806,0,0.000101806,0,7.8875E-15,0.466974,1.75854E-11,3.31506E-12,5.60682E-12,0,0,0.936692,0.224526,0.243922,0.207841,0.146448,0.0898697,0.0498804,0.0255095,0.0120029,0.394013,0.326144,0.184955,0.0718392,0.0191031,0.00347588,0.000432509,3.67807E-05,0.00011199,2.24061E-11,0.999888,0.000111986,7.88748E-15,1.75854E-11,3.31506E-12,1.3083E-12,1.895E-13
"Risk Neutral CM 4 FSM 1 DM 0.5 LT 0.8 UPC 1.2E-05","0","351","PrecPower2",0.125,0.999889,0.000111143,0.1875,0.0001111,2.22374E-11,1,0.000111143,1.0103E-05,2,5.60223E-06,0.655857,0,1,0,0,0,0,0,0,1,1,0.937498,0.28762,,,5.49352E-14,,,,,1.35250E-11,6.06104E-12,2.6E-12,0.25236,9.9999,9.99994,19.9998,0.0001556,9.9999,9.99994,4.4457E-05,5.5571E-5,0,5.55713E-5,2.77856E-05,0,0.00010104,0.000145497,2.67307E-10,0.00010104,0,0.00010104,0,5.4935E-14,0.468512,1.35250E-11,6.06104E-12,8.08676E-12,0,0,0.708269,0.194117,0.219717,0.199292,0.153452,0.105571,0.0669763,0.0395234,0.0213503,0.245941,0.29712,0.245941,0.139472,0.054173,0.0144054,0.00262112,0.000326149,0.00011114,2.22374E-11,0.999889,0.000111142,5.49352E-14,1.35250E-11,6.06104E-12,1.9412E-12,6.552E-13
"Risk Neutral CM 4 FSM 1 DM 0.5 LT 0.8 UPC 1.2E-05","0","351","PrecPower3",0.125,0.999888,0.000111671,0.3125,0.0001117,2.23431E-11,1,0.000111671,1.0151E-05,3,5.60221E-06,0.763881,0,0,1,0,0,0,0,0,1,1,0.937499,0.350437,,,2.98851E-13,,,,,8.68449E-12,1.02435E-11,3.12E-12,0.429754,9.9999,9.99994,19.9998,0.00015634,9.9999,9.99994,4.46684E-05,5.5835E-5,0,5.58354E-5,2.79177E-05,0,0.00010152,0.000146189,2.67306E-10,0.00010152,0,0.00010152,0,2.9885E-13,0.468709,8.68449E-12,1.02435E-11,8.83922E-12,0,0,0.437025,0.153945,0.184878,0.182933,0.158249,0.125175,0.0923998,0.0633452,0.0390739,0.122435,0.215899,0.260827,0.2159,0.122436,0.0475558,0.0126458,0.00230094,0.00011167,2.23431E-11,0.999888,0.000111671,2.98851E-13,8.68449E-12,1.02435E-11,1.7770E-12,1.339E-12
"Risk Neutral CM 4 FSM 1 DM 0.5 LT 0.8 UPC 1.2E-05","0","351","PrecPower4",0.125,0.99989,0.000110339,0.4375,0.0001103,2.20766E-11,1,0.000110339,1.00299E-05,4,5.60221E-06,0.864188,0,0,0,1,0,0,0,0,1,1,0.937499,0.425987,,,1.16221E-12,,,,,4.29307E-12,1.43583E-11,2.26E-12,0.625098,9.9999,9.99994,19.9998,0.000154474,9.9999,9.99994,4.41355E-05,6.018E-11,9.9305E-5,9.93048E-5,3.29175E-11,8.93743E-05,0.000100309,0.000144445,2.67307E-10,0.000100309,0.000100309,9.24886E-11,0,1.1622E-12,0.46874,4.29307E-12,1.43583E-11,6.35173E-12,0.999999,0,0.146652,0.109091,0.141947,0.157034,0.156102,0.144143,0.12449,0.0986522,0.068542,0.0454965,0.117134,0.206552,0.249535,0.206553,0.117135,0.0454967,0.0120982,0.00011034,2.20766E-11,0.99989,0.000110339,1.16221E-12,4.29307E-12,1.43583E-11,8.4842E-13,1.415E-12
"Risk Neutral CM 4 FSM 1 DM 0.5 LT 0.8 UPC 1.2E-05","0","351","PrecPower5",0.125,0.999894,0.000105709,0.5625,0.0001057,2.11502E-11,1,0.000105709,9.60903E-06,5,5.60224E-06,0.95678,0,0,0,0,1,0,0,0,1,1,0.937499,0.518204,,,3.22267E-12,,,,,1.50183E-12,1.54883E-11,9.37E-13,0.795151,9.9999,9.99995,19.9999,0.000147993,9.9999,9.99995,4.22836E-05,4.783E-11,9.5138E-5,9.5138E-05,2.47659E-11,8.56242E-05,9.61002E-05,0.000138384,2.67308E-10,9.60999E-05,9.60998E-05,7.04235E-11,0,3.2227E-12,0.468747,1.50183E-12,1.54883E-11,2.71047E-12,0.999999,0,-0.146652,0.0685422,0.0986523,0.12449,0.144142,0.156101,0.157034,0.141947,0.109091,0.0120982,0.0454966,0.117134,0.206553,0.249535,0.206552,0.117134,0.0454964,0.00010571,2.11502E-11,0.999894,0.000105709,3.22267E-12,1.50183E-12,1.54883E-11,1.9203E-13,7.454E-13
"Risk Neutral CM 4 FSM 1 DM 0.5 LT 0.8 UPC 1.2E-05","0","351","PrecPower6",0.125,0.999896,0.000103726,0.6875,0.0001037,2.07534E-11,1,0.000103726,9.42876E-06,6,5.60227E-06,1.04166,0,0,0,0,0,1,0,0,1,1,0.937499,0.629579,,,6.86643E-12,,,,,3.50066E-13,1.32996E-11,2.37E-13,0.911378,9.99991,9.99995,19.9999,0.000145216,9.99991,9.99995,4.14903E-05,3.718E-11,9.3353E-5,9.33532E-5,1.79398E-11,8.40178E-05,9.42972E-05,0.000135788,2.67309E-10,9.4297E-05,9.42969E-05,5.21876E-11,0,6.8664E-12,0.468749,3.50066E-13,1.32996E-11,6.8154E-13,0.999999,0,-0.437028,0.0390742,0.0633455,0.0923999,0.125175,0.158249,0.182933,0.184878,0.153945,0.00230092,0.0126457,0.0475555,0.122436,0.2159,0.260828,0.215899,0.122435,0.00010373,2.07534E-11,0.999896,0.000103726,6.86643E-12,3.50066E-13,1.32996E-11,2.1036E-14,2.163E-13
"Risk Neutral CM 4 FSM 1 DM 0.5 LT 0.8 UPC 1.2E-05","0","351","PrecPower7",0.125,0.999891,0.000108597,0.8125,0.0001086,2.1728E-11,1,0.000108597,9.87154E-06,7,5.60227E-06,1.11882,0,0,0,0,0,0,1,0,1,1,0.937499,0.74012,,,1.18645E-11,,,,,5.49566E-14,9.76597E-12,4.26E-14,0.970552,9.9999,9.99995,19.9998,0.000152036,9.9999,9.99995,4.34387E-05,2.937E-11,9.7737E-5,9.77371E-5,1.34698E-11,8.79633E-05,9.87255E-05,0.000142164,2.67308E-10,9.87252E-05,9.87252E-05,3.81793E-11,0,1.1865E-11,0.468749,5.49566E-14,9.76597E-12,1.09283E-13,1,0,-0.708271,0.0213503,0.0395235,0.0669762,0.105571,0.153452,0.199293,0.219717,0.194117,0.000326142,0.00262107,0.0144052,0.0541727,0.139472,0.245942,0.29712,0.245941,0.0001086,2.1728E-11,0.999891,0.000108597,1.18645E-11,5.49566E-14,9.76597E-12,1.2542E-15,4.134E-14
"Risk Neutral CM 4 FSM 1 DM 0.5 LT 0.8 UPC 1.2E-05","0","351","PrecPower8",0.125,0.999883,0.000116822,0.9375,0.0001168,2.33738E-11,1,0.000116822,1.06192E-05,8,5.60225E-06,1.18826,0,0,0,0,0,0,0,1,1,1,0.937499,0.824256,,,1.70216E-11,,,,,6.31357E-15,6.33972E-12,6.16E-15,0.992286,9.99989,9.99994,19.9998,0.000163551,9.99989,9.99994,4.67289E-05,2.327E-11,0.0001051,0.00010514,1.02115E-11,9.4626E-05,0.000106203,0.000152932,2.67306E-10,0.000106203,0.000106203,2.6994800000000004E-11,0,1.7022E-11,0.468749,6.31357E-15,6.33972E-12,1.26134E-14,1,0,-0.936687,0.0120028,0.0255094,0.0498801,0.0898693,0.146448,0.207841,0.243923,0.224527,3.67797E-05,0.000432499,0.00347583,0.019103,0.071839,0.184955,0.326145,0.394013,0.00011682,2.33738E-11,0.999883,0.000116822,1.70216E-11,6.31357E-15,6.33972E-12,4.752E-17,6.113E-15
"Risk Neutral CM 4 FSM 1 DM 0.5 LT 0.8 UPC 1.2E-05","0","351","PrecLevel0",1,0.99989,0.000109999,0.5,0.00011,2.20086E-11,1,0.000109999,9.999E-06,4.5,0,0.891195,0.125,0.125,0.125,0.125,0.124999,0.124999,0.125,0.125001,1,1,0.937499,0.501948,,,5.06238E-12,,,,,5.75016E-12,9.85894E-12,1.34E-12,0.430749,9.9999,9.99995,19.9998,0.000153999,9.9999,9.99995,4.39996E-05,2.0925E-5,6.1334E-5,8.22591E-5,1.04625E-05,5.52007E-05,0.0001,0.000144,2.0008E-10,0.0001,6.19542E-05,3.80458E-05,0,5.0624E-12,0.468749,5.75016E-12,9.85894E-12,4.04981E-12,0.619542,0,-1.10565E-15,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.00011,2.20086E-11,0.99989,0.000109999,5.06238E-12,5.75016E-12,9.85894E-12,7.6116E-13,5.76E-13
