"OptionSet","Exploit","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","Activity","Accident","WrongAttrib","PrecPower","PrecLevel","BCRatio","PrecPower1","PrecPower2","PrecPower3","PrecPower4","PrecPower5","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"Risk Neutral CM 4 PCPM 5 FSM 1","0","134","All",1,0.999921,7.88039E-05,0.5,3.6666E-5,1.75331E-11,1,7.88039E-05,9.99931E-06,3,2.66667,0.934994,0.200001,0.199999,0.199999,0.2,0.200002,1,1,0.434737,0.434737,,,1.75330E-11,,,,,8.71469E-18,6.38822E-18,3.98E-19,0.585722,9.99994,9.99994,19.9999,0.000120137,9.99994,9.99995,1.46666E-05,2.7E-11,1.4667E-5,1.46666E-5,2.45641E-11,5.86663E-06,9.54714E-05,0.000110138,2.66669E-05,6.88046E-05,3.33333E-05,3.54712E-05,0,1.7533E-11,0.434737,8.71469E-18,6.38822E-18,1.67094E-19,0.465286,0,0,0.176198,0.21568,0.216243,0.21568,0.176198,0.176198,0.21568,0.216243,0.21568,0.176198,3.66664E-5,1.75331E-11,0.999963,3.66663E-05,1.75330E-11,8.71469E-18,6.38822E-18,1.6470E-19,2.329E-19
"Risk Neutral CM 4 PCPM 5 FSM 1","0","134","NoDispute",0.9999,1,0,0.500002,0,0,1,0,0,3.00001,2.66671,0.934983,0.199998,0.199999,0.2,0.200001,0.200002,1,1,,,,,0,,,,,0,0,0,,10,9.99997,20,2.66673E-05,10,9.99998,0,0,0,0,0,0,2.66673E-05,2.66673E-05,2.66673E-05,0,0,0,0,0,,0,0,0,,0,0,0.176196,0.215679,0.216243,0.215682,0.1762,0.176196,0.215679,0.216243,0.215682,0.1762,0,0,1,0,0,0,0,0,0
"Risk Neutral CM 4 PCPM 5 FSM 1","0","134","DisputeArises",7.9E-5,0,1,0.475491,0.465286,2.2249E-07,1,1,0.126889,2.87746,2.13886,1.071,0.239211,0.20604,0.184226,0.179126,0.191397,1,1,0.434737,0.434737,,,2.2249E-07,,,,,1.10587E-13,8.10648E-14,5.04E-15,0.585722,9.27917,9.53469,18.8139,1.18614,9.27917,9.5347,0.186115,3.4268E-7,0.186115,0.186115,3.11712E-07,0.0744459,0.873133,1.05925,2.13886E-05,0.873111,0.422991,0.45012,0,2.2249E-07,0.434737,1.10587E-13,8.10648E-14,2.12038E-15,0.465286,0,-4.88166E-15,0.196983,0.231246,0.21607,0.200023,0.155677,0.196983,0.231246,0.21607,0.200023,0.155677,0.465286,2.2249E-07,0.534714,0.465286,2.2249E-07,1.10587E-13,8.10648E-14,2.09E-15,2.955E-15
"Risk Neutral CM 4 PCPM 5 FSM 1","0","134","PFiles",3.7E-5,0,1,0.5,1,4.78178E-07,1,1,0.0909009,3,2.95999E-06,1.71487,0.215179,0.192632,0.184378,0.192632,0.215179,1,1,0.434737,0.434737,,,4.78178E-07,,,,,2.37675E-13,1.74226E-13,1.08E-14,0.585722,9.6,9,18.6,1.4,9.6,9,0.400001,7.3649E-7,0.4,0.400001,6.69935E-07,0.16,0.909099,1.3091,2.95999E-11,0.909099,0.909099,5.41214E-07,0,4.78178E-7,0.434737,2.37675E-13,1.74226E-13,4.55715E-15,0.999999,0,8.32075E-08,0.176198,0.21568,0.216243,0.21568,0.176198,0.176198,0.21568,0.216243,0.21568,0.176198,1,4.78178E-07,0,1,4.78178E-07,2.37675E-13,1.74226E-13,4.4919E-15,6.351E-15
"Risk Neutral CM 4 PCPM 5 FSM 1","0","134","DAnswers",2E-11,0,1,0.466815,1,1,1,1,0.127712,2.83408,2.22559,1.04108,0.230155,0.223394,0.201925,0.171273,0.173254,1,1,0.434737,0.434737,,,0.999999,,,,,4.97044E-07,3.64353E-07,2.268E-8,0.585722,8.63474,8.76524,17.4,2.60002,8.63474,8.76525,1.6,0.806125,0.395829,1.20195,0.666934,0.371646,0.87231,2.47231,2.22559E-05,0.872288,0.390094,0.482194,0,0.999999,0.434737,4.97044E-07,3.64353E-07,9.53023E-09,0.429745,0,0.174009,0.177142,0.207954,0.262106,0.205681,0.147117,0.210386,0.275434,0.194307,0.179876,0.139997,1,1,0,0,0.999999,4.97044E-07,3.64353E-07,9.39376E-9,1.3281E-8
"Risk Neutral CM 4 PCPM 5 FSM 1","0","134","Litigated",2E-11,0,1,0.466815,1,1,1,1,0.127712,2.83408,2.22559,1.04108,0.230155,0.223394,0.201925,0.171273,0.173254,1,1,0.434737,0.434737,,,0.999999,,,,,4.97044E-07,3.64353E-07,2.268E-8,0.585722,8.63474,8.76524,17.4,2.60002,8.63474,8.76525,1.6,0.806125,0.395829,1.20195,0.666934,0.371646,0.87231,2.47231,2.22559E-05,0.872288,0.390094,0.482194,0,0.999999,0.434737,4.97044E-07,3.64353E-07,9.53023E-09,0.429745,0,0.174009,0.177142,0.207954,0.262106,0.205681,0.147117,0.210386,0.275434,0.194307,0.179876,0.139997,1,1,0,0,0.999999,4.97044E-07,3.64353E-07,9.39376E-9,1.3281E-8
"Risk Neutral CM 4 PCPM 5 FSM 1","0","134","Not Litigated",1,0.999921,7.88039E-05,0.5,3.6666E-5,0,1,7.88039E-05,9.99931E-06,3,2.66667,0.934994,0.200001,0.199999,0.199999,0.2,0.200002,1,1,,,,,0,,,,,0,0,0,,9.99994,9.99994,19.9999,0.000120137,9.99994,9.99995,1.46665E-05,1.287E-11,1.4667E-5,1.46666E-5,1.28707E-11,5.86662E-06,9.54714E-05,0.000110138,2.66669E-05,6.88045E-05,3.33333E-05,3.54712E-05,0,0,,0,0,0,0.465286,0,-3.05128E-12,0.176198,0.21568,0.216243,0.21568,0.176198,0.176198,0.21568,0.216243,0.21568,0.176198,3.66663E-5,0,0.999963,3.66663E-05,0,0,0,0,0
"Risk Neutral CM 4 PCPM 5 FSM 1","0","134","Settles",2E-11,0,1,0.466815,1,1,1,1,0.127712,2.83408,2.22559,1.04108,0.230155,0.223394,0.201925,0.171273,0.173254,1,1,0.434737,0.434737,,,1,,,,,0,0,0,,8.63474,8.76524,17.4,2.60002,8.63474,8.76525,1.6,0.806125,0.395829,1.20195,0.666934,0.371646,0.87231,2.47231,2.22559E-05,0.872288,0.390094,0.482194,0,1,0.434737,0,0,0,0.429745,0,0.174009,0.177142,0.207954,0.262106,0.205681,0.147117,0.210386,0.275434,0.194307,0.179876,0.139997,1,1,0,0,1,0,0,0,0
"Risk Neutral CM 4 PCPM 5 FSM 1","0","134","Tried",4E-19,0,1,0.38237,1,1,1,1,0.120041,2.41185,2,1.05375,0.150757,0.398236,0.350045,0.0903248,0.0106367,1,1,0.899999,0.100001,,,0,,,,,0,0,1,0.585722,8.59146,8.00852,16.6,3.40002,8.59146,8.0085,2.4,1.6258,0.290194,1.91599,4.65015,0.98666,0.879979,3.27998,2E-05,0.879959,0.396012,0.483947,0,0,,0,0,0,0.451006,0,1.7318,1.25096E-06,1.46855E-06,0.666445,0.259889,0.0736639,0.324591,0.675406,1.37217E-06,1.27026E-06,9.8864E-07,1,1,0,0,0,0,0,0.414278,0.585722
"Risk Neutral CM 4 PCPM 5 FSM 1","0","134","PWins",2E-19,0,1,0.450635,1,1,1,1,0.120849,2.75318,1.99999,1.13383,0.0531033,0.322618,0.460323,0.145909,0.0180465,1,1,0.9,0.100002,,,0,,,,,0,0,1,1,10,6.59998,16.6,3.40002,10,6.59996,2.4,2.77572,0,2.77572,7.93917,0,0.879171,3.27917,1.99999E-05,0.879151,0.548049,0.331102,0,0,,0,0,0,0.62428,0,1.77352,8.88879E-07,1.08806E-06,0.585566,0.308722,0.10571,0.253386,0.746611,1.0909E-06,1.08806E-06,8.88879E-07,1,1,0,0,0,0,0,0,1
