"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","Activity","Accident","WrongAttrib","PrecPower","PrecLevel","BCRatio","PrecPower1","PrecPower2","PrecPower3","PrecPower4","PrecPower5","PrecPower6","PrecPower7","PrecPower8","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"Risk Neutral CM 4 PCPM 2 UPC 8E-06","3.42E-07","0.9076","296","PrecPower2",0.125,0.999916,8.39026E-05,0.3,5.4327E-8,4.98576E-08,1,8.39026E-05,1.00057E-05,2,4.00833,0.530276,0,1,0,0,0,0,0,0,1,1,0.599509,0.1,,,0,,,,,0,0,4.986E-8,0.00923454,9.99992,9.99997,19.9999,0.000116091,9.99992,9.99996,1.21446E-07,6.4759E-8,0,6.47593E-8,7.78302E-08,0,0.000105964,0.000106085,3.20666E-05,7.38969E-05,0,7.38969E-05,0,0,,0,0,0,0,0,0.456905,0.322427,0.31936,0.207367,0.105902,0.0449442,0.424678,0.400955,0.150684,0.0223828,0.00129973,5.43274E-8,4.98576E-08,1,4.46984E-09,0,0,0,4.93972E-8,4.604E-10
"Risk Neutral CM 4 PCPM 2 UPC 8E-06","3.42E-07","0.9076","296","PrecPower3",0.125,0.999924,7.59951E-05,0.5,3.5428E-7,2.76077E-07,1,7.59951E-05,9.39646E-06,3,4.02909,0.639083,0,0,1,0,0,0,0,0,1,1,0.599509,0.1,,,0,,,,,0,0,2.761E-7,0.0334799,9.99992,9.99997,19.9999,0.000108922,9.99992,9.99996,6.93866E-07,4.1874E-7,0,4.18738E-7,5.0718E-07,0,9.88313E-05,9.95252E-05,3.22327E-05,6.65986E-05,0,6.65986E-05,0,0,,0,0,0,0,0,0.286932,0.262225,0.290267,0.225949,0.144926,0.0766324,0.242183,0.406369,0.271721,0.0721785,0.00754905,3.54279E-7,2.76077E-07,1,7.8202E-08,0,0,0,2.66834E-7,9.243E-09
"Risk Neutral CM 4 PCPM 2 UPC 8E-06","3.42E-07","0.9076","296","PrecPower4",0.125,0.999928,7.16076E-05,0.7,1.6918E-6,9.28386E-07,1,7.16076E-05,9.33183E-06,4,4.08079,0.74383,0,0,0,1,0,0,0,0,1,1,0.599509,0.1,,,0,,,,,0,0,9.284E-7,0.0943179,9.99993,9.99997,19.9999,0.000106787,9.99993,9.99996,2.53349E-06,1.965E-06,0,1.96503E-6,2.398E-06,0,9.49221E-05,9.74555E-05,3.26463E-05,6.22758E-05,0,6.22758E-05,0,0,,0,0,0,0,0,0.0973187,0.192437,0.247053,0.238839,0.194974,0.126697,0.104926,0.313388,0.372374,0.17626,0.0330514,1.69179E-6,9.28386E-07,0.999998,7.63404E-07,0,0,0,8.40823E-7,8.7563E-8
"Risk Neutral CM 4 PCPM 2 UPC 8E-06","3.42E-07","0.9076","296","PrecPower5",0.125,0.99993,6.96258E-05,0.9,5.4343E-6,1.64835E-06,1,6.96258E-05,9.66217E-06,5,4.17441,0.841482,0,0,0,0,1,0,0,0,1,1,0.599509,0.1,,,0,,,,,0,0,1.648E-6,0.208486,9.99993,9.99996,19.9999,0.000108492,9.99993,9.99996,5.4704E-06,6.1076E-6,0,6.10761E-6,7.32799E-06,0,9.33589E-05,9.88293E-05,3.33953E-05,5.99636E-05,0,5.99636E-05,0,0,,0,0,0,0,0,-0.0973079,0.126696,0.194975,0.238839,0.247052,0.192438,0.033052,0.176262,0.372375,0.313387,0.104925,5.43428E-6,1.64835E-06,0.999995,3.78593E-06,0,0,0,1.30469E-6,3.4366E-7
"Risk Neutral CM 4 PCPM 2 UPC 8E-06","3.42E-07","0.9076","296","PrecPower6",0.125,0.999933,6.72773E-05,1.1,1.1396E-5,1.48637E-06,1,6.72773E-05,9.96637E-06,6,4.29691,0.933301,0,0,0,0,0,1,0,0,1,1,0.599509,0.1,,,0,,,,,0,0,1.486E-6,0.372296,9.99994,9.99995,19.9999,0.000109184,9.99994,9.99995,7.53132E-06,1.2247E-5,0,1.22471E-5,1.39319E-05,0,9.16862E-05,9.92175E-05,3.43753E-05,5.73109E-05,0,5.73109E-05,0,0,,0,0,0,0,0,-0.286924,0.0766319,0.144927,0.22595,0.290266,0.262226,0.00754924,0.0721796,0.271722,0.406368,0.242181,1.13965E-5,1.48637E-06,0.999989,9.9101E-06,0,0,0,9.32999E-7,5.5337E-7
"Risk Neutral CM 4 PCPM 2 UPC 8E-06","3.42E-07","0.9076","296","PrecPower7",0.125,0.999935,6.52254E-05,1.3,1.6769E-5,7.38239E-07,1,6.52254E-05,1.02407E-05,7,4.41677,1.0249,0,0,0,0,0,0,1,0,1,1,0.599509,0.1,,,0,,,,,0,0,7.382E-7,0.555965,9.99994,9.99995,19.9999,0.000108744,9.99994,9.99994,8.18427E-06,5.5808E-7,3.1483E-5,3.20413E-5,6.04138E-07,2.85996E-05,9.03189E-05,9.85031E-05,3.53342E-05,5.49847E-05,3.46358E-05,2.03489E-05,0,0,,0,0,0,0.622862,0,-0.456905,0.0449442,0.105902,0.207369,0.319359,0.322426,0.00129978,0.0223833,0.150686,0.400955,0.424677,1.67695E-5,7.38239E-07,0.999983,1.60312E-05,0,0,0,3.27804E-7,4.1043E-7
"Risk Neutral CM 4 PCPM 2 UPC 8E-06","3.42E-07","0.9076","296","PrecPower8",0.125,0.999935,6.47096E-05,1.5,1.978E-05,2.3535E-07,1,6.47096E-05,1.05987E-05,8,4.51055,1.12128,0,0,0,0,0,0,0,1,1,1,0.599509,0.1,,,0,,,,,0,0,2.354E-7,0.720356,9.99995,9.99994,19.9999,0.000109176,9.99995,9.99994,8.38252E-06,2.1661E-7,5.3096E-5,5.33125E-5,2.46764E-07,4.86198E-05,9.01952E-05,9.85777E-05,3.60844E-05,5.41108E-05,5.41108E-05,0,0,0,,0,0,0,1,0,-0.591831,0.0273597,0.080003,0.190324,0.336056,0.366257,0.000179678,0.00559884,0.067699,0.321408,0.605115,1.97795E-5,2.3535E-07,0.99998,1.95442E-05,0,0,0,6.58142E-8,1.6954E-7
"Risk Neutral CM 4 PCPM 2 UPC 8E-06","3.42E-07","0.9076","296","PrecLevel0",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Risk Neutral CM 4 PCPM 2 UPC 8E-06","3.42E-07","0.9076","296","PrecLevel1",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Risk Neutral CM 4 PCPM 2 UPC 8E-06","3.42E-07","0.9076","296","PrecLevel2",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Risk Neutral CM 4 PCPM 2 UPC 8E-06","3.42E-07","0.9076","296","PrecLevel3",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
