"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","Activity","Accident","WrongAttrib","PrecPower","PrecLevel","BCRatio","PrecPower1","PrecPower2","PrecPower3","PrecPower4","PrecPower5","PrecPower6","PrecPower7","PrecPower8","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"Risk Neutral CM 4 PCPM 1 FSM 2","2.726E-07","0.9392","57","PLiabilitySignal5",0.1774,0.999914,8.58725E-05,1.10883,3.919E-11,1.78522E-11,1,8.58725E-05,1.00244E-05,6.04417,1.9473,0.977047,0.0192808,0.0316729,0.054004,0.0892854,0.135615,0.184797,0.227225,0.258119,1,1,0.124286,0.1,,,1.71813E-11,,,,,1.38362E-17,4.86091E-13,1.85E-13,0.532259,9.99991,9.99998,19.9999,0.000105346,9.99991,9.99998,3.72465E-11,4.685E-12,6.6278E-5,6.62785E-5,5.62102E-12,6.62785E-05,9.53212E-05,9.53212E-05,1.94732E-05,7.5848E-05,5.84467E-05,1.74013E-05,0,1.7181E-11,0.1,1.38362E-17,4.86091E-13,9.72628E-20,0.771825,0,0.8369,0,0,0,0,1,0.00839623,0.0443088,0.158144,0.354101,0.43505,3.919E-11,1.78522E-11,1,2.13377E-11,1.71813E-11,1.38362E-17,4.86091E-13,8.6434E-14,9.836E-14
"Risk Neutral CM 4 PCPM 1 FSM 2","2.726E-07","0.9392","57","DLiabilitySignal1",0.1774,0.999897,0.000102631,0.297722,3.297E-11,3.29681E-11,1,0.000102631,9.98537E-06,1.98861,1,0.649847,0.426447,0.299283,0.170672,0.0739432,0.0232922,0.00532002,0.000915961,0.00012662,1,1,0.103623,0.1,,,3.27832E-11,,,,,2.27739E-17,3.69756E-20,1.85E-13,0.532255,9.9999,9.99999,19.9999,0.000112631,9.9999,9.99999,5.28967E-11,2.95E-11,4.0654E-7,4.06573E-7,2.78053E-11,4.06544E-07,0.000102645,0.000102645,1.00002E-05,9.26451E-05,3.6501E-07,9.22801E-05,0,3.2783E-11,0.1,2.27739E-17,3.69756E-20,4.5566E-24,0.00396123,0,0.8369,0.43505,0.354101,0.158144,0.0443088,0.00839623,1,0,0,0,0,3.2968E-11,3.29681E-11,1,6.59625E-18,3.27832E-11,2.27739E-17,3.69756E-20,8.6436E-14,9.836E-14
"Risk Neutral CM 4 PCPM 1 FSM 2","2.726E-07","0.9392","57","DLiabilitySignal2",0.2148,0.999899,0.000101433,0.494901,3.587E-11,2.80577E-11,1,0.000101433,9.98743E-06,2.97451,1,0.762034,0.187025,0.233312,0.236461,0.182356,0.102564,0.0419999,0.0130244,0.00325786,1,1,0.109245,0.1,,,2.76563E-11,,,,,1.64403E-17,4.01362E-13,1.85E-18,0.409608,9.9999,9.99999,19.9999,0.000111433,9.9999,9.99999,4.80166E-11,2.953E-11,4.9438E-6,4.9438E-06,2.72940E-11,4.94377E-06,0.000101446,0.000101446,1.00002E-05,9.14458E-05,4.43796E-06,8.70078E-05,0,2.7656E-11,0.1,1.64403E-17,4.01362E-13,3.93707E-18,0.0487391,0,0.271057,0.292378,0.328316,0.231762,0.110959,0.0365854,0,1,0,0,0,3.5869E-11,2.80577E-11,1,7.81085E-12,2.76563E-11,1.64403E-17,4.01362E-13,1.0927E-18,7.581E-19
"Risk Neutral CM 4 PCPM 1 FSM 2","2.726E-07","0.9392","57","DLiabilitySignal3",0.2156,0.99991,9.04174E-05,0.8,3.724E-11,1.80907E-11,1,9.04174E-05,1.00004E-05,4.5,2,0.821054,0.0392469,0.0873559,0.157523,0.215874,0.215874,0.157523,0.0873559,0.0392469,1,1,0.1,0.1,,,1.80907E-11,,,,,1.44784E-17,5.72863E-19,3.01E-24,0.287972,9.99991,9.99998,19.9999,0.000110418,9.99991,9.99998,3.66033E-11,2.258E-11,1.0902E-5,1.09021E-5,2.11509E-11,1.09021E-05,0.000100417,0.000100417,2.00002E-05,8.0417E-05,9.61553E-06,7.08015E-05,0,1.8091E-11,0.1,1.44784E-17,5.72863E-19,7.1033E-24,0.120575,0,0,0.130092,0.2309,0.278017,0.2309,0.130092,0,0,1,0,0,3.7236E-11,1.80907E-11,1,1.91455E-11,1.80907E-11,1.44784E-17,5.72863E-19,2.1442E-24,8.672E-25
"Risk Neutral CM 4 PCPM 1 FSM 2","2.726E-07","0.9392","57","DLiabilitySignal4",0.2148,0.999913,8.72539E-05,1.1051,3.866E-11,1.74578E-11,1,8.72539E-05,1.00237E-05,6.02549,2,0.971849,0.00325786,0.0130244,0.0419999,0.102564,0.182356,0.236461,0.233312,0.187025,1,1,0.1,0.1,,,1.74578E-11,,,,,1.39718E-17,1.28749E-18,2.8E-24,0.3938,9.99991,9.99998,19.9999,0.000107254,9.99991,9.99998,3.64138E-11,1.136E-11,3.8165E-5,3.8165E-05,1.04761E-11,3.81649E-05,9.72305E-05,9.72306E-05,2.00002E-05,7.72303E-05,3.36478E-05,4.35825E-05,0,1.7458E-11,0.1,1.39718E-17,1.28749E-18,6.7156E-24,0.437401,0,-0.271057,0.0365854,0.110959,0.231762,0.328316,0.292378,0,0,0,1,0,3.8661E-11,1.74578E-11,1,2.12034E-11,1.74578E-11,1.39718E-17,1.28749E-18,1.6946E-24,1.101E-24
"Risk Neutral CM 4 PCPM 1 FSM 2","2.726E-07","0.9392","57","DLiabilitySignal5",0.1774,0.999915,8.53382E-05,1.30228,3.89E-11,1.70745E-11,1,8.53382E-05,1.0025E-05,7.01139,2,1.06618,0.00012662,0.000915961,0.00532003,0.0232922,0.0739434,0.170672,0.299283,0.426446,1,1,0.1,0.1,,,1.70745E-11,,,,,1.3665E-17,1.91574E-18,2.73E-24,0.472582,9.99991,9.99998,19.9999,0.000105338,9.99991,9.99998,3.60487E-11,4.081E-12,6.4747E-5,6.47471E-5,3.70977E-12,6.47471E-05,9.53135E-05,9.53135E-05,2.00002E-05,7.53133E-05,5.70599E-05,1.82534E-05,0,1.7074E-11,0.1,1.3665E-17,1.91574E-18,6.53175E-24,0.758712,0,-0.8369,0.00839623,0.0443088,0.158144,0.354101,0.43505,0,0,0,0,1,3.8898E-11,1.70745E-11,1,2.18238E-11,1.70745E-11,1.3665E-17,1.91574E-18,1.442E-24,1.292E-24
"Risk Neutral CM 4 PCPM 1 FSM 2","2.726E-07","0.9392","57","High Quality",0.125,0.999909,9.12411E-05,1.5,4.215E-11,1.83068E-11,1,9.12411E-05,1.09138E-05,8,1.99422,1.1582,0,0,0,0,0,0,0,1,1,1,0.101279,0.1,,,1.82706E-11,,,,,1.4601E-17,3.46717E-14,1.56E-15,0.784245,9.99991,9.99998,19.9999,0.000111184,9.99991,9.99998,3.88291E-11,3.214E-14,9.1241E-5,9.12411E-5,3.80280E-14,9.12411E-05,0.00010027,0.00010027,1.99424E-05,8.03274E-05,8.03273E-05,3.52052E-11,0,1.8271E-11,0.1,1.4601E-17,3.46717E-14,1.73047E-20,1,0,-0.591817,0.0273592,0.0800013,0.190321,0.336055,0.366264,0.00017967,0.00559872,0.0676987,0.321408,0.605115,4.2149E-11,1.83068E-11,1,2.38425E-11,1.82706E-11,1.4601E-17,3.46717E-14,3.3605E-16,1.221E-15
"Risk Neutral CM 4 PCPM 1 FSM 2","2.726E-07","0.9392","57","PLiabilitySignal 1",0.1774,0.999899,0.000101033,0.491164,2.021E-11,2.02146E-11,1,0.000101033,9.98203E-06,2.95582,1.21085,0.7344,0.258122,0.227225,0.184796,0.135614,0.0892846,0.0540038,0.0316731,0.019281,1,1,0.1,0.1,,,2.02146E-11,,,,,1.61782E-17,2.27222E-24,3.24E-24,0.16381,9.9999,9.99999,19.9999,0.000113142,9.9999,9.99999,3.23434E-11,1.818E-11,6.312E-08,6.31382E-8,1.63636E-11,6.312E-08,0.00010316,0.00010316,1.21087E-05,9.10508E-05,5.58697E-08,9.09949E-05,0,2.0215E-11,0.1,1.61782E-17,2.27222E-24,4.54445E-24,0.000624747,0,-0.8369,1,0,0,0,0,0.43505,0.354101,0.158144,0.0443088,0.00839623,2.0215E-11,2.02146E-11,1,5.75505E-18,2.02146E-11,1.61782E-17,2.27222E-24,2.7067E-24,5.302E-25
"Risk Neutral CM 4 PCPM 1 FSM 2","2.726E-07","0.9392","57","PLiabilitySignal 2",0.2148,0.999902,9.8104E-05,0.605194,4.164E-11,2.96652E-11,1,9.8104E-05,9.98588E-06,3.52597,1.37931,0.777314,0.195548,0.185834,0.168904,0.143757,0.113452,0.0843299,0.0616226,0.0465523,1,1,0.1,0.1,,,2.96652E-11,,,,,2.23004E-17,1.44129E-18,4.17E-24,0.231724,9.9999,9.99999,19.9999,0.000111897,9.9999,9.99999,5.22532E-11,3.529E-11,1.3057E-6,1.30576E-6,3.26565E-11,1.30572E-06,0.000101911,0.000101911,1.37933E-05,8.81181E-05,1.15436E-06,8.69637E-05,0,2.9665E-11,0.1,2.23004E-17,1.44129E-18,2.88257E-18,0.0133096,0,-0.271057,0,1,0,0,0,0.292378,0.328316,0.231762,0.110959,0.0365854,4.1637E-11,2.96652E-11,1,1.1972E-11,2.96652E-11,2.23004E-17,1.44129E-18,3.2064E-24,9.671E-25
"Risk Neutral CM 4 PCPM 1 FSM 2","2.726E-07","0.9392","57","PLiabilitySignal 3",0.2156,0.999907,9.32778E-05,0.800001,4.067E-11,2.40592E-11,1,9.32778E-05,1.0005E-05,4.5,1.63901,0.851862,0.110333,0.120216,0.130989,0.138462,0.138462,0.130988,0.120216,0.110335,1,1,0.1,0.1,,,2.40592E-11,,,,,1.49364E-17,2.02727E-18,2.29E-18,0.341813,9.99991,9.99998,19.9999,0.000109668,9.99991,9.99998,4.51397E-11,2.521E-11,1.1765E-5,1.17655E-5,2.331E-11,1.17655E-05,9.96631E-05,9.96631E-05,1.63903E-05,8.32728E-05,1.03923E-05,7.28805E-05,0,2.4059E-11,0.1,1.49364E-17,2.02727E-18,5.41883E-24,0.126134,0,0,0,0,1,0,0,0.130092,0.2309,0.278017,0.2309,0.130092,4.0672E-11,2.40592E-11,1,1.66124E-11,2.40592E-11,1.49364E-17,2.02727E-18,1.5082E-18,7.832E-19
