Adjudication Mode,Cost Misestimation,Costs Multiplier,Court Noise,Damages Multiplier,Fee Shifting Multiplier,Issue,Liability Threshold,Noise Multiplier D,Noise Multiplier P,Num Signals and Offers,Proportion of Costs at Beginning,Relative Costs,Risk Aversion,Unit Precaution Cost,Wrongful Attribution Probability,GroupName,OptionSetName,Width,Precaution,TLHarm,TNLHarm,File,Answer,Bargain,Trial,Total
Baseline,1,0.25,High Indet,0.5,0,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,,MODRA CM 0.25 CN High Indet DM 0.5,0.000006124,0,0,0,0.025,0.025,0.05,0,0.1
Baseline,1,0.25,High Indet,0.5,0,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,,MODRA CM 0.25 CN High Indet DM 0.5,0.000047116,0,0,1,0.025,0.025,0.05,0,1.1
Baseline,1,0.25,High Indet,0.5,0,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,,MODRA CM 0.25 CN High Indet DM 0.5,0.000014128,0,1,0,0.025,0.025,0.05,0,1.1
Baseline,1,0.25,High Indet,0.5,0,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,,MODRA CM 0.25 CN High Indet DM 0.5,0.000000224,0,0,0,0.025,0.025,0.05,0.05,0.15
Baseline,1,0.25,High Indet,0.5,0,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,,MODRA CM 0.25 CN High Indet DM 0.5,0.000000111,0,0,1,0.025,0.025,0.05,0.05,1.15
Baseline,1,0.25,High Indet,0.5,0,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,,MODRA CM 0.25 CN High Indet DM 0.5,0.000002133,0,1,0,0.025,0.025,0.05,0.05,1.15
Baseline,1,0.25,High Indet,0.5,0,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,,MODRA CM 0.25 CN High Indet DM 0.5,0.634806330,0,0,0,0,0,0,0,0
Baseline,1,0.25,High Indet,0.5,0,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,,MODRA CM 0.25 CN High Indet DM 0.5,0.000003655,1E-05,0,0,0.025,0.025,0.05,0,0.10001
Baseline,1,0.25,High Indet,0.5,0,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,,MODRA CM 0.25 CN High Indet DM 0.5,0.000006201,1E-05,0,1,0.025,0.025,0.05,0,1.10001
Baseline,1,0.25,High Indet,0.5,0,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,,MODRA CM 0.25 CN High Indet DM 0.5,0.000025774,1E-05,1,0,0.025,0.025,0.05,0,1.10001
