Equilibrium Type,Adjudication Mode,Cost Misestimation,Costs Multiplier,Court Noise,Damages Multiplier,Fee Shifting Multiplier,Issue,Liability Threshold,Noise Multiplier D,Noise Multiplier P,Num Signals and Offers,Proportion of Costs at Beginning,Relative Costs,Risk Aversion,Unit Precaution Cost,Wrongful Attribution Probability,Filter,GroupName,OptionSetName,Exploitability,Calculation Time,P Files,D Answers,P Offer,D Offer,Trial,P Win Probability,P Wealth,D Wealth,Total Wealth,Wealth Loss,P Welfare,D Welfare,Pre-Dispute Social Welfare Loss,Social Welfare Loss,Opportunity Cost,Harm Cost,Truly Liable Harm Cost,Truly Not Liable Harm Cost,Expenditures,False Positive Inaccuracy,False Negative Inaccuracy,Value If Settled,No Suit,No Answer,Settles,P Abandons,D Defaults,P Loses,P Wins,Appropriation,Engages in Activity,Accident Occurs,Wrongful Attribution,Precaution Power,Precaution Level,Benefit-Cost Ratio,Precaution Power 1,Precaution Power 2,Precaution Power 3,Precaution Power 4,Precaution Power 5,Precaution Power 6,Precaution Power 7,Precaution Power 8
Only Eq,Baseline,1,0.25,High Indet,0.5,0,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,All,,MODRA CM 0.25 CN High Indet DM 0.5,6.184E-08,728,0.0001055,0.000105466,0.442692,0.4375,2.469E-06,0.6215,9.99991,9.99997,19.9999,0.000119787,1000,1000,9.91137E-05,0.000109784,3.65124E-06,9.54625E-05,4.20346E-05,5.34279E-05,1.067E-05,1.5821E-05,3.8592E-05,0.21875,0.999895,0,0.000102997,0,0,9.34468E-07,1.5344E-06,0,1,0.000105466,1.0003E-05,4.5,0.365124,0.981829,0.125001,0.125,0.124999,0.124999,0.124999,0.124999,0.125,0.125001
Only Eq,Baseline,1,0.25,High Indet,0.5,0,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,Dispute Arises,,MODRA CM 0.25 CN High Indet DM 0.5,6.184E-08,728,1,1,0.442692,0.4375,0.023409,0.6215,9.17032,9.72851,18.8988,1.10117,999.203,999.864,0.905157,1.00633,3.37834E-06,0.905153,0.398563,0.506591,0.10117,0.15001,0.36592,0.21875,0,0,0.976591,0,0,0.00886041,0.0145489,0,1,1,0.0948465,4.40139,0.337834,0.973058,0.14214,0.132657,0.124463,0.119787,0.117248,0.116959,0.120557,0.126188
Only Eq,Baseline,1,0.25,High Indet,0.5,0,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,Not Litigated,,MODRA CM 0.25 CN High Indet DM 0.5,6.184E-08,728,0,0,,,0,,10,10,20,3.65127E-06,1000,1000,3.65127E-06,3.65127E-06,3.65127E-06,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,1,0,0,4.50001,0.365127,0.981829,0.124999,0.124999,0.125,0.125,0.125,0.125,0.125001,0.125001
Only Eq,Baseline,1,0.25,High Indet,0.5,0,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,Litigated,,MODRA CM 0.25 CN High Indet DM 0.5,6.184E-08,728,1,1,0.442692,0.4375,0.023409,0.6215,9.17032,9.72851,18.8988,1.10117,999.203,999.864,0.905157,1.00633,3.37834E-06,0.905153,0.398563,0.506591,0.10117,0.15001,0.36592,0.21875,0,0,0.976591,0,0,0.00886041,0.0145489,0,1,1,0.0948465,4.40139,0.337834,0.973058,0.14214,0.132657,0.124463,0.119787,0.117248,0.116959,0.120557,0.126188
Only Eq,Baseline,1,0.25,High Indet,0.5,0,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,Settles,,MODRA CM 0.25 CN High Indet DM 0.5,6.184E-08,728,1,1,0.4375,0.4375,0,,9.16875,9.73125,18.9,1.1,999.203,999.867,0.905062,1.00506,3.45932E-06,0.905059,0.387404,0.517655,0.1,0.153217,0.357347,0.21875,0,0,1,0,0,0,0,0,1,1,0.0949411,4.3504,0.345932,0.966612,0.145545,0.135813,0.127266,0.121679,0.116751,0.113301,0.116009,0.123636
Only Eq,Baseline,1,0.25,High Indet,0.5,0,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,Tried,,MODRA CM 0.25 CN High Indet DM 0.5,6.184E-08,728,1,1,0.6593,0.4375,1,0.6215,9.23575,9.61425,18.85,1.15,999.214,999.738,0.909099,1.0591,0,0.909099,0.864091,0.0450085,0.15,0.0162348,0.723549,,0,0,0,0,0,0.3785,0.6215,0,1,1,0.0909008,6.52884,0,1.24197,9.76234E-05,0.000973519,0.00755269,0.0408851,0.137966,0.269564,0.310306,0.232656
Only Eq,Baseline,1,0.25,High Indet,0.5,0,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,P Loses,,MODRA CM 0.25 CN High Indet DM 0.5,6.184E-08,728,1,1,0.6593,0.4375,1,0,8.925,9.925,18.85,1.15,998.585,999.97,0.909099,1.0591,0,0.909099,0.850337,0.0587626,0.15,0.0048479,1.00551,,0,0,0,0,0,1,0,0,1,1,0.0909008,6.4077,0,1.23024,0.000162525,0.00151656,0.0107544,0.0522048,0.157171,0.277088,0.293782,0.207321
Only Eq,Baseline,1,0.25,High Indet,0.5,0,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,P Wins,,MODRA CM 0.25 CN High Indet DM 0.5,6.184E-08,728,1,1,0.6593,0.4375,1,1,9.425,9.425,18.85,1.15,999.597,999.597,0.909099,1.0591,0,0.909099,0.872467,0.0366321,0.15,0.0231696,0.55183,,0,0,0,0,0,0,1,0,1,1,0.0909008,6.60262,0,1.24911,5.80975E-05,0.000642804,0.00560281,0.0339913,0.12627,0.264981,0.32037,0.248084
Only Eq,Baseline,1,0.25,High Indet,0.5,0,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,Truly Liable,,MODRA CM 0.25 CN High Indet DM 0.5,6.184E-08,728,1,1,0.448663,0.4375,0.050331,0.627525,9.17227,9.7252,18.8975,1.10252,999.204,999.861,0.901571,1.00409,6.1636E-06,0.901565,0.901565,0,0.102517,0,0.827726,0.21875,0,0,0.949669,0,0,0.0187471,0.0315841,0,1,1,0.0984348,6.66631,0.61636,1.18947,0,0,0,0,0.177285,0.264567,0.272705,0.285443
Only Eq,Baseline,1,0.25,High Indet,0.5,0,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,Truly Not Liable,,MODRA CM 0.25 CN High Indet DM 0.5,6.184E-08,728,1,1,0.437961,0.4375,0.002077,0.505835,9.16877,9.73113,18.8999,1.10011,999.203,999.867,0.907998,1.0081,1.17138E-06,0.907997,0,0.907997,0.100104,0.268873,0,0.21875,0,0,0.997923,0,0,0.00102653,0.0010508,0,1,1,0.0920034,2.60675,0.117138,0.801579,0.254768,0.23777,0.223084,0.214703,0.0696762,0,0,0
