Equilibrium Type,Adjudication Mode,Cost Misestimation,Costs Multiplier,Court Noise,Damages Multiplier,Fee Shifting Multiplier,Issue,Liability Threshold,Noise Multiplier D,Noise Multiplier P,Num Signals and Offers,Proportion of Costs at Beginning,Relative Costs,Risk Aversion,Unit Precaution Cost,Wrongful Attribution Probability,Filter,GroupName,OptionSetName,Exploitability,Calculation Time,P Files,D Answers,P Offer,D Offer,Trial,P Win Probability,P Wealth,D Wealth,Total Wealth,Wealth Loss,P Welfare,D Welfare,Pre-Dispute Social Welfare Loss,Social Welfare Loss,Opportunity Cost,Harm Cost,Truly Liable Harm Cost,Truly Not Liable Harm Cost,Expenditures,False Positive Inaccuracy,False Negative Inaccuracy,Value If Settled,No Suit,No Answer,Settles,P Abandons,D Defaults,P Loses,P Wins,Appropriation,Engages in Activity,Accident Occurs,Wrongful Attribution,Precaution Power,Precaution Level,Benefit-Cost Ratio,Precaution Power 1,Precaution Power 2,Precaution Power 3,Precaution Power 4,Precaution Power 5,Precaution Power 6,Precaution Power 7,Precaution Power 8
Only Eq,Baseline,1,0.25,High Both,0.5,0,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,All,,MODRA CM 0.25 CN High Both DM 0.5,1.451E-07,141,0.00011,0.000109999,0.4375,0.4375,0,,9.99991,9.99997,19.9999,0.000120999,1000,1000,0.0001,0.000111,0,0.0001,4.99999E-05,5.00001E-05,1.09999E-05,1.4781E-05,4.5718E-05,0.21875,0.99989,0,0.000109999,0,0,0,0,0,1,0.000109999,9.999E-06,4.5,0,1.02079,0.125001,0.125,0.125,0.125,0.125,0.125,0.125,0.125001
Only Eq,Baseline,1,0.25,High Both,0.5,0,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,Dispute Arises,,MODRA CM 0.25 CN High Both DM 0.5,1.451E-07,141,1,1,0.4375,0.4375,0,,9.16875,9.73125,18.9,1.1,999.203,999.867,0.909099,1.0091,0,0.909099,0.454548,0.454551,0.1,0.134375,0.415624,0.21875,0,0,1,0,0,0,0,0,1,1,0.0909008,4.5,0,1.02025,0.130458,0.125963,0.122623,0.120957,0.120956,0.12262,0.125962,0.13046
Only Eq,Baseline,1,0.25,High Both,0.5,0,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,Not Litigated,,MODRA CM 0.25 CN High Both DM 0.5,1.451E-07,141,0,0,,,0,,10,10,20,0,1000,1000,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,1,0,0,4.5,0,1.02079,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
Only Eq,Baseline,1,0.25,High Both,0.5,0,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,Litigated,,MODRA CM 0.25 CN High Both DM 0.5,1.451E-07,141,1,1,0.4375,0.4375,0,,9.16875,9.73125,18.9,1.1,999.203,999.867,0.909099,1.0091,0,0.909099,0.454548,0.454551,0.1,0.134375,0.415624,0.21875,0,0,1,0,0,0,0,0,1,1,0.0909008,4.5,0,1.02025,0.130458,0.125963,0.122623,0.120957,0.120956,0.12262,0.125962,0.13046
Only Eq,Baseline,1,0.25,High Both,0.5,0,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,Settles,,MODRA CM 0.25 CN High Both DM 0.5,1.451E-07,141,1,1,0.4375,0.4375,0,,9.16875,9.73125,18.9,1.1,999.203,999.867,0.909099,1.0091,0,0.909099,0.454548,0.454551,0.1,0.134375,0.415624,0.21875,0,0,1,0,0,0,0,0,1,1,0.0909008,4.5,0,1.02025,0.130458,0.125963,0.122623,0.120957,0.120956,0.12262,0.125962,0.13046
Only Eq,Baseline,1,0.25,High Both,0.5,0,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,Tried,,MODRA CM 0.25 CN High Both DM 0.5,1.451E-07,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Only Eq,Baseline,1,0.25,High Both,0.5,0,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,P Loses,,MODRA CM 0.25 CN High Both DM 0.5,1.451E-07,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Only Eq,Baseline,1,0.25,High Both,0.5,0,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,P Wins,,MODRA CM 0.25 CN High Both DM 0.5,1.451E-07,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Only Eq,Baseline,1,0.25,High Both,0.5,0,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,Truly Liable,,MODRA CM 0.25 CN High Both DM 0.5,1.451E-07,141,1,1,0.4375,0.4375,0,,9.16875,9.73125,18.9,1.1,999.203,999.867,0.909099,1.0091,0,0.909099,0.909099,0,0.1,0,0.83125,0.21875,0,0,1,0,0,0,0,0,1,1,0.0909008,6.53185,0,1.24262,0,0,0,0,0.241913,0.245242,0.251925,0.26092
Only Eq,Baseline,1,0.25,High Both,0.5,0,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,Truly Not Liable,,MODRA CM 0.25 CN High Both DM 0.5,1.451E-07,141,1,1,0.4375,0.4375,0,,9.16875,9.73125,18.9,1.1,999.203,999.867,0.909099,1.0091,0,0.909099,0,0.909099,0.1,0.26875,0,0.21875,0,0,1,0,0,0,0,0,1,1,0.0909008,2.46816,0,0.79788,0.260915,0.251926,0.245245,0.241914,0,0,0,0
