"OptionSet","Exploit","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","Activity","Accident","WrongAttrib","PrecPower","PrecLevel","BCRatio","PrecPower1","PrecPower2","PrecPower3","PrecPower4","PrecPower5","PrecPower6","PrecPower7","PrecPower8","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","PLiabilitySignal6","PLiabilitySignal7","PLiabilitySignal8","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","DLiabilitySignal6","DLiabilitySignal7","DLiabilitySignal8","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"Risk Neutral CM 4 FSM 2 DM 0.5 LT 1 UPC 1.2E-05","0","179","All",1,0.99989,0.000109999,0.5,0.00011,2.20086E-11,1,0.000109999,9.999E-06,4.5,5.60224E-06,0.850655,0.125001,0.125,0.124999,0.124999,0.124999,0.124999,0.125,0.125001,1,1,0.0625007,0.0625007,,,2.20086E-11,,,,,3.08243E-17,3.08367E-24,6.17E-24,0.314413,9.9999,9.99995,19.9998,0.000153999,9.9999,9.99995,4.39996E-05,4.0524E-5,2.6055E-5,6.65795E-5,2.02622E-05,2.34496E-05,0.0001,0.000144,2.67307E-10,9.99999E-05,2.63185E-05,7.36814E-05,0,2.2009E-11,0.0312502,3.08243E-17,3.08367E-24,6.16733E-24,0.263185,0,-2.07354E-15,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.00011,2.20086E-11,0.99989,0.000109999,2.20086E-11,3.08243E-17,3.08367E-24,4.2282E-24,1.939E-24
"Risk Neutral CM 4 FSM 2 DM 0.5 LT 1 UPC 1.2E-05","0","179","NoDispute",0.9999,1,0,0.5,0,0,1,0,0,4.5,5.60246E-06,0.850655,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,1,1,,,,,0,,,,,0,0,0,,10,10,20,2.67332E-10,10,10,0,0,0,0,0,0,2.67332E-10,2.67332E-10,2.67332E-10,0,0,0,0,0,,0,0,0,,0,0,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0,0,1,0,0,0,0,0,0
"Risk Neutral CM 4 FSM 2 DM 0.5 LT 1 UPC 1.2E-05","0","179","DisputeArises",0.0001,0,1,0.5002,1,2.0008E-07,1,1,0.0909009,4.5016,3.62896E-06,0.849909,0.135739,0.126997,0.119936,0.117009,0.117057,0.120076,0.127207,0.135979,1,1,0.0625007,0.0625007,,,2.0008E-07,,,,,2.80224E-13,2.80336E-20,5.61E-20,0.314413,9.1,9.5,18.6,1.4,9.1,9.5,0.4,0.368407,0.236867,0.605274,0.184204,0.21318,0.909099,1.3091,4.35476E-11,0.909099,0.239262,0.669838,0,2.0008E-07,0.0312502,2.80224E-13,2.80336E-20,5.60672E-20,0.263185,0,-5.07884E-14,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,1,2.0008E-07,2.0008E-07,1,2.0008E-07,2.80224E-13,2.80336E-20,3.8439E-20,1.763E-20
"Risk Neutral CM 4 FSM 2 DM 0.5 LT 1 UPC 1.2E-05","0","179","PFiles",0.0001,0,1,0.5002,1,2.0008E-07,1,1,0.0909009,4.5016,3.62896E-06,0.849909,0.135739,0.126997,0.119936,0.117009,0.117057,0.120076,0.127207,0.135979,1,1,0.0625007,0.0625007,,,2.0008E-07,,,,,2.80224E-13,2.80336E-20,5.61E-20,0.314413,9.1,9.5,18.6,1.4,9.1,9.5,0.4,0.368407,0.236867,0.605274,0.184204,0.21318,0.909099,1.3091,4.35476E-11,0.909099,0.239262,0.669838,0,2.0008E-07,0.0312502,2.80224E-13,2.80336E-20,5.60672E-20,0.263185,0,-3.74821E-14,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,1,2.0008E-07,0,1,2.0008E-07,2.80224E-13,2.80336E-20,3.8439E-20,1.763E-20
"Risk Neutral CM 4 FSM 2 DM 0.5 LT 1 UPC 1.2E-05","0","179","DAnswers",2E-11,0,1,0.5002,1,1,1,1,0.0909009,4.5016,3.62896E-06,0.849909,0.135739,0.126997,0.119936,0.117009,0.117057,0.120076,0.127207,0.135979,1,1,0.0625007,0.0625007,,,0.999999,,,,,1.40056E-06,1.40112E-13,2.8E-13,0.314413,8.23125,9.16875,17.4,2.6,8.23125,9.16875,1.6,0.612477,0.465509,1.07799,0.509122,0.823369,0.909099,2.5091,4.35476E-11,0.909099,0.239262,0.669838,0,0.999999,0.0312502,1.40056E-06,1.40112E-13,2.80224E-13,0.263185,0,-3.14107E-13,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,1,1,0,0,0.999999,1.40056E-06,1.40112E-13,1.9212E-13,8.811E-14
"Risk Neutral CM 4 FSM 2 DM 0.5 LT 1 UPC 1.2E-05","0","179","Litigated",2E-11,0,1,0.5002,1,1,1,1,0.0909009,4.5016,3.62896E-06,0.849909,0.135739,0.126997,0.119936,0.117009,0.117057,0.120076,0.127207,0.135979,1,1,0.0625007,0.0625007,,,0.999999,,,,,1.40056E-06,1.40112E-13,2.8E-13,0.314413,8.23125,9.16875,17.4,2.6,8.23125,9.16875,1.6,0.612477,0.465509,1.07799,0.509122,0.823369,0.909099,2.5091,4.35476E-11,0.909099,0.239262,0.669838,0,0.999999,0.0312502,1.40056E-06,1.40112E-13,2.80224E-13,0.263185,0,-3.14107E-13,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,1,1,0,0,0.999999,1.40056E-06,1.40112E-13,1.9212E-13,8.811E-14
"Risk Neutral CM 4 FSM 2 DM 0.5 LT 1 UPC 1.2E-05","0","179","Not Litigated",1,0.99989,0.000109999,0.5,0.00011,0,1,0.000109999,9.999E-06,4.5,5.60224E-06,0.850655,0.125001,0.125,0.124999,0.124999,0.124999,0.124999,0.125,0.125001,1,1,,,,,0,,,,,0,0,0,,9.9999,9.99995,19.9998,0.000153999,9.9999,9.99995,4.39996E-05,4.0524E-5,2.6055E-5,6.65795E-5,2.02622E-05,2.34496E-05,0.0001,0.000144,2.67307E-10,9.99999E-05,2.63185E-05,7.36814E-05,0,0,,0,0,0,0.263185,0,-2.30354E-15,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.00011,0,0.99989,0.000109999,0,0,0,0,0
"Risk Neutral CM 4 FSM 2 DM 0.5 LT 1 UPC 1.2E-05","0","179","Settles",2E-11,0,1,0.5002,1,1,1,1,0.0909009,4.5016,3.62896E-06,0.849909,0.135739,0.126997,0.119936,0.117009,0.117057,0.120076,0.127207,0.135979,1,1,0.0625,0.0625007,,,1,,,,,0,0,0,,8.23125,9.16875,17.4,2.6,8.23125,9.16875,1.6,0.612477,0.465509,1.07799,0.509122,0.823369,0.909099,2.5091,4.35476E-11,0.909099,0.239262,0.669838,0,1,0.0312502,0,0,0,0.263185,0,-1.37604E-13,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,1,1,0,0,1,0,0,0,0
"Risk Neutral CM 4 FSM 2 DM 0.5 LT 1 UPC 1.2E-05","0","179","Tried",6E-24,0,1,0.5002,1,1,1,1,0.0909009,4.5016,3.62896E-06,0.849909,0.135739,0.126997,0.119936,0.117009,0.117057,0.120076,0.127207,0.135979,1,1,0.5625,0.0625002,,,0,,,,,0,0,1,0.314413,7.06639,9.53361,16.6,3.4,7.06639,9.53361,2.4,1.15402,0.589341,1.74336,4.31279,2.71097,0.909099,3.3091,4.35476E-11,0.909099,0.239262,0.669838,0,0,,0,0,0,0.263185,0,-2.12277E-13,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,1,1,0,0,0,0,0,0.685587,0.314413
"Risk Neutral CM 4 FSM 2 DM 0.5 LT 1 UPC 1.2E-05","0","179","PWins",2E-24,0,1,0.643495,1,1,1,1,0.0909008,5.64796,4.61161E-07,0.954161,0.0480357,0.0567267,0.072741,0.0982157,0.130131,0.164562,0.199347,0.23024,1,1,0.5625,0.0625002,,,0,,,,,0,0,1,1,10.7,5.9,16.6,3.4,10.7,5.9,2.4,3.67041,0,3.67041,13.717,0,0.909099,3.3091,5.53394E-12,0.909099,0.390538,0.518561,0,0,,0,0,0,0.429588,0,-5.08156E-14,0.0427401,0.0637881,0.0873932,0.116003,0.149933,0.181398,0.192307,0.166437,0.0427401,0.0637881,0.0873932,0.116003,0.149933,0.181398,0.192307,0.166437,1,1,0,0,0,0,0,0,1
