"OptionSet","Exploit","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","Activity","Accident","WrongAttrib","PrecPower","PrecLevel","BCRatio","PrecPower1","PrecPower2","PrecPower3","PrecPower4","PrecPower5","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"Risk Neutral CM 1 CN 0.4 LT 1.2","0","36","All",1,0.99993,7.04259E-05,0.500001,7.11E-11,3.02647E-11,1,7.04259E-05,9.99939E-06,3,3,0.888955,0.2,0.2,0.2,0.2,0.200001,1,1,0.330485,0.241008,,,2.33483E-11,,,,,1.12771E-17,3.97569E-19,6.92E-12,0.525231,9.99993,9.99997,19.9999,0.000100426,9.99993,9.99997,1.75727E-11,1.863E-11,1.2441E-5,1.24411E-5,1.42002E-11,1.24411E-05,9.04267E-05,9.04267E-05,3.00002E-05,6.04265E-05,1.03711E-05,5.00554E-05,0,2.3348E-11,0.222279,1.12771E-17,3.97569E-19,2.25633E-24,0.176655,0,0,0.176198,0.21568,0.216243,0.21568,0.176198,0.176198,0.21568,0.216243,0.21568,0.176198,7.11E-11,3.02647E-11,1,4.08358E-11,2.33483E-11,1.12771E-17,3.97569E-19,3.2837E-12,3.633E-12
"Risk Neutral CM 1 CN 0.4 LT 1.2","0","36","NoDispute",0.9999,1,0,0.500003,0,0,1,0,0,3.00001,3,0.888957,0.199997,0.199999,0.2,0.200001,0.200003,1,1,,,,,0,,,,,0,0,0,,10,9.99997,20,3.00002E-05,10,9.99997,0,0,0,0,0,0,3.00002E-05,3.00002E-05,3.00002E-05,0,0,0,0,0,,0,0,0,,0,0,0.176196,0.215679,0.216243,0.215682,0.1762,0.176196,0.215679,0.216243,0.215682,0.1762,0,0,1,0,0,0,0,0,0
"Risk Neutral CM 1 CN 0.4 LT 1.2","0","36","DisputeArises",7E-05,0,1,0.468125,1.0096E-6,4.29738E-07,1,1,0.141985,2.84063,3,0.85719,0.238031,0.214774,0.192386,0.178154,0.176655,1,1,0.330485,0.241008,,,3.3153E-07,,,,,1.60128E-13,5.64521E-15,9.821E-8,0.525231,9,9.99997,19,1.00003,9,9.99997,2.49521E-07,2.6453E-7,0.176655,0.176655,2.01633E-07,0.176655,0.858045,0.858046,3E-05,0.858015,0.147263,0.710753,0,3.3153E-07,0.222279,1.60128E-13,5.64521E-15,3.20384E-20,0.176655,0,-3.25859E-15,0.204363,0.236558,0.215751,0.194543,0.148785,0.204363,0.236558,0.215751,0.194543,0.148785,1.00958E-6,4.29738E-07,0.999999,5.79841E-07,3.3153E-07,1.60128E-13,5.64521E-15,4.6626E-08,5.1582E-8
"Risk Neutral CM 1 CN 0.4 LT 1.2","0","36","PFiles",7E-11,0,1,0.487045,1,0.42566,1,1,0.112553,2.93522,1.3143,1.35002,0.218445,0.204602,0.193803,0.189586,0.193564,1,1,0.330485,0.241008,,,0.328384,,,,,1.58609E-07,5.59165E-09,0.097276,0.525231,9.54613,9.2067,18.7528,1.24717,9.54613,9.2067,0.247153,0.262019,0.134923,0.396942,0.19972,0.0896227,0.88746,1.13461,1.3143E-05,0.887447,0.510988,0.376459,0,0.328384,0.222279,1.58609E-07,5.59165E-09,3.17344E-14,0.572719,0,-2.92507E-14,0.187746,0.224183,0.215973,0.207036,0.165062,0.187746,0.224183,0.215973,0.207036,0.165062,1,0.42566,0,0.57434,0.328384,1.58609E-07,5.59165E-09,0.0461836,0.0510923
"Risk Neutral CM 1 CN 0.4 LT 1.2","0","36","DAnswers",3E-11,0,1,0.474924,1,1,1,1,0.132212,2.87462,2.46559,1.02204,0.228603,0.212373,0.195298,0.183254,0.180471,1,1,0.330485,0.241008,,,0.77147,,,,,3.72618E-07,1.31364E-08,0.228529,0.525231,9.06866,9.48561,18.5543,1.44573,9.06866,9.48561,0.445706,0.330971,0.210503,0.541474,0.184612,0.199903,0.867813,1.31352,2.46559E-05,0.867788,0.240596,0.627193,0,0.77147,0.222279,3.72618E-07,1.31364E-08,7.45534E-14,0.28078,0,-1.33431E-14,0.198529,0.232166,0.215774,0.198947,0.154585,0.198529,0.232166,0.215774,0.198947,0.154585,1,1,0,0,0.77147,3.72618E-07,1.31364E-08,0.108499,0.120031
"Risk Neutral CM 1 CN 0.4 LT 1.2","0","36","Litigated",3E-11,0,1,0.474924,1,1,1,1,0.132212,2.87462,2.46559,1.02204,0.228603,0.212373,0.195298,0.183254,0.180471,1,1,0.330485,0.241008,,,0.77147,,,,,3.72618E-07,1.31364E-08,0.228529,0.525231,9.06866,9.48561,18.5543,1.44573,9.06866,9.48561,0.445706,0.330971,0.210503,0.541474,0.184612,0.199903,0.867813,1.31352,2.46559E-05,0.867788,0.240596,0.627193,0,0.77147,0.222279,3.72618E-07,1.31364E-08,7.45534E-14,0.28078,0,-1.33431E-14,0.198529,0.232166,0.215774,0.198947,0.154585,0.198529,0.232166,0.215774,0.198947,0.154585,1,1,0,0,0.77147,3.72618E-07,1.31364E-08,0.108499,0.120031
"Risk Neutral CM 1 CN 0.4 LT 1.2","0","36","Not Litigated",1,0.99993,7.04258E-05,0.500001,4.084E-11,0,1,7.04258E-05,9.99939E-06,3,3,0.888955,0.2,0.2,0.2,0.2,0.200001,1,1,,,,,0,,,,,0,0,0,,9.99993,9.99997,19.9999,0.000100426,9.99993,9.99997,4.08358E-12,8.613E-12,1.2441E-5,1.24411E-5,8.61295E-12,1.24411E-05,9.04266E-05,9.04266E-05,3.00002E-05,6.04265E-05,1.03711E-05,5.00554E-05,0,0,,0,0,0,0.176655,0,0,0.176198,0.21568,0.216243,0.21568,0.176198,0.176198,0.21568,0.216243,0.21568,0.176198,4.0836E-11,0,1,4.08358E-11,0,0,0,0,0
"Risk Neutral CM 1 CN 0.4 LT 1.2","0","36","Settles",2E-11,0,1,0.441467,1,1,1,1,0.133563,2.70733,2.6035,0.942328,0.282244,0.228945,0.164825,0.147202,0.176783,1,1,0.221025,0.223533,,,1,,,,,0,0,0,,9.02228,9.57769,18.6,1.40003,9.02228,9.57769,0.4,0.295192,0.175969,0.471162,0.120182,0.161614,0.866463,1.26646,2.6035E-05,0.866437,0.183814,0.682623,0,1,0.222279,0,0,0,0.216469,0,-0.223209,0.257338,0.30094,0.148356,0.156938,0.136429,0.229714,0.243461,0.186923,0.139525,0.200376,1,1,0,0,1,0,0,0,0
"Risk Neutral CM 1 CN 0.4 LT 1.2","0","36","Tried",7E-12,0,1,0.587867,1,1,1,1,0.12765,3.43933,2,1.29115,0.047522,0.156427,0.298169,0.304959,0.192922,1,1,0.7,0.3,,,0,,,,,0,0,1,0.525231,9.22523,9.17475,18.4,1.60002,9.22523,9.17475,0.6,0.451752,0.327083,0.778836,0.402114,0.32916,0.87237,1.47237,2E-05,0.87235,0.43228,0.44007,0,0,,0,0,0,0.497881,0,0.753508,3.60652E-07,4.20269E-07,0.443364,0.340761,0.215875,0.0932522,0.194038,0.313166,0.399543,2.90299E-07,1,1,0,0,0,0,0,0.474769,0.525231
"Risk Neutral CM 1 CN 0.4 LT 1.2","0","36","PWins",4E-12,0,1,0.645323,1,1,1,1,0.128913,3.72661,2,1.35729,0.0213456,0.102439,0.26665,0.347388,0.262178,1,1,0.7,0.3,,,0,,,,,0,0,1,1,9.7,8.69998,18.4,1.60002,9.7,8.69998,0.6,0.690434,0.18287,0.873304,0.714695,0.0548609,0.871107,1.47111,2E-05,0.871087,0.529138,0.341949,0,0,,0,0,0,0.609566,0,0.700629,1.90034E-07,2.74301E-07,0.374338,0.361519,0.264143,0.0607376,0.157718,0.313177,0.468368,3.71147E-07,1,1,0,0,0,0,0,0,1
"Risk Neutral CM 1 CN 0.4 LT 1.2","0","36","DWins",3E-12,0,1,0.524303,1,1,1,1,0.126253,3.12152,2,1.21798,0.0764806,0.216154,0.333039,0.258021,0.116306,1,1,0.7,0.3,,,0,,,,,0,0,1,0,8.7,9.69998,18.4,1.60002,8.7,9.69998,0.6,0.187702,0.486625,0.674327,0.0563106,0.632612,0.873767,1.47377,2E-05,0.873747,0.325127,0.548621,0,0,,0,0,0,0.374327,0,0.812008,5.49404E-07,5.81751E-07,0.519726,0.317796,0.162477,0.129223,0.234219,0.313154,0.323404,2.00859E-07,1,1,0,0,0,0,0,1,0
"Risk Neutral CM 1 CN 0.4 LT 1.2","0","36","Abandoned",1E-17,0,1,0.465512,1,1,1,1,0.141237,2.82756,2.96595,0.864239,0.235065,0.220263,0.197832,0.175725,0.171115,1,1,0.603406,0.106811,,,0,,,,,0.965946,0.0340539,0,,8.83405,9.76592,18.6,1.40003,8.83405,9.76592,0.4,0.195813,0.205589,0.401402,0.0750911,0.245885,0.858792,1.25879,2.96595E-05,0.858763,0.145851,0.712912,0,0,,0.965946,0.0340539,1.93267E-07,0.174752,0,0.0589733,0.197403,0.228503,0.231099,0.196769,0.146227,0.208457,0.251502,0.208404,0.187919,0.143718,1,1,0,0,0,0.965946,0.0340539,0,0
