"OptionSet","Exploit","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","Activity","Accident","WrongAttrib","PrecPower","PrecLevel","BCRatio","PrecPower1","PrecPower2","PrecPower3","PrecPower4","PrecPower5","PrecPower6","PrecPower7","PrecPower8","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","PLiabilitySignal6","PLiabilitySignal7","PLiabilitySignal8","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","DLiabilitySignal6","DLiabilitySignal7","DLiabilitySignal8","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"Risk Neutral CM 1 Noise 2,2 FSM 2","0","145","DWins",2E-12,0,1,0.539633,1,1,1,1,0.100626,4.81707,0.999994,0.956003,0.0798809,0.100545,0.120358,0.136359,0.14585,0.14734,0.141039,0.128628,1,1,0.312504,0.187501,,,0,,,,,0,0,1,0,8.1,10.3,18.4,1.60001,8.1,10.3,0.6,0,0.792314,0.792314,0,1.5054,0.899384,1.49938,9.99994E-06,0.899374,0.37409,0.525284,0,0,,0,0,0,0.417007,0,3.56211,1.4366E-06,1.65511E-06,1.79335E-06,1.83596E-06,1.78196E-06,0.40246,0.334371,0.263161,0.134972,0.171485,0.206191,0.234723,0.252625,1.61296E-06,1.41785E-06,1.1787E-06,1,1,0,0,0,0,0,1,0
"Risk Neutral CM 1 Noise 2,2 FSM 2","0","145","Abandoned",3E-17,0,1,0.489237,1,1,1,1,0.109824,4.41389,1.94052,0.814889,0.135285,0.130447,0.126552,0.123745,0.121989,0.121057,0.120609,0.120316,1,1,0.54763,0.0699354,,,0,,,,,0.970259,0.0297406,0,,8.82974,9.77024,18.6,1.40002,8.82974,9.77024,0.4,0.168961,0.286634,0.455595,0.0533338,0.341269,0.890196,1.2902,1.94052E-05,0.890176,0.220865,0.669312,0,0,,0.970259,0.0297406,1.9413E-07,0.250075,0,0.210545,0.100089,0.116854,0.128597,0.133973,0.13249,0.147981,0.130772,0.109245,0.107774,0.126802,0.140792,0.148121,0.147993,0.124444,0.110827,0.0932461,1,1,0,0,0,0.970259,0.0297406,0,0
"Risk Neutral CM 1 Noise 2,2 FSM 2","0","145","PrecPower1",0.125,0.999899,0.000101063,0.0625,6.415E-11,6.41452E-11,1,0.000101063,1.02516E-05,1,2,0.454937,1,0,0,0,0,0,0,0,1,1,0.285041,0.285041,,,6.19259E-11,,,,,2.87643E-17,4.44019E-19,2.22E-12,0.303881,9.9999,9.99998,19.9999,0.000121063,9.9999,9.99998,2.61019E-11,3.14E-11,0,3.1396E-11,1.99811E-11,0,0.000110812,0.000110812,2.00002E-05,9.08116E-05,0,9.08116E-05,0,6.1926E-11,0.286296,2.87643E-17,4.44019E-19,5.75517E-24,0,0,1.11627,0.12012,0.136275,0.144979,0.145337,0.137843,0.123999,0.10585,0.0855975,0.224717,0.214093,0.18514,0.145321,0.103536,0.0669546,0.0393005,0.0209382,6.4145E-11,6.41452E-11,1,1.28342E-17,6.19259E-11,2.87643E-17,4.44019E-19,1.5448E-12,6.744E-13
"Risk Neutral CM 1 Noise 2,2 FSM 2","0","145","PrecPower2",0.125,0.999904,9.63895E-05,0.1875,6.203E-11,6.2031E-11,1,9.63895E-05,1.00371E-05,2,2,0.564008,0,1,0,0,0,0,0,0,1,1,0.289269,0.289269,,,5.9149E-11,,,,,2.75872E-17,5.76626E-19,2.88E-12,0.325304,9.9999,9.99998,19.9999,0.00011639,9.9999,9.99998,2.53888E-11,3.083E-11,0,3.0834E-11,2.04515E-11,0,0.000106353,0.000106353,2.00002E-05,8.63524E-05,0,8.63524E-05,0,5.9149E-11,0.291182,2.75872E-17,5.76626E-19,5.51966E-24,0,0,0.826831,0.115557,0.132316,0.142312,0.144457,0.138899,0.126752,0.109751,0.0899558,0.179434,0.188339,0.179434,0.155169,0.121796,0.0867746,0.0561156,0.0329383,6.2031E-11,6.2031E-11,1,1.24112E-17,5.9149E-11,2.75872E-17,5.76626E-19,1.9444E-12,9.375E-13
"Risk Neutral CM 1 Noise 2,2 FSM 2","0","145","PrecPower3",0.125,0.999908,9.24009E-05,0.3125,6.027E-11,6.02735E-11,1,9.24009E-05,9.87062E-06,3,2,0.670684,0,0,1,0,0,0,0,0,1,1,0.293967,0.293967,,,5.66995E-11,,,,,2.6608E-17,7.15080E-19,3.57E-12,0.348725,9.99991,9.99998,19.9999,0.000112401,9.99991,9.99998,2.48242E-11,3.053E-11,0,3.0533E-11,2.11912E-11,0,0.000102531,0.000102531,2.00002E-05,8.25303E-05,0,8.25303E-05,0,5.67E-11,0.296738,2.6608E-17,7.15080E-19,5.32373E-24,0,0,0.509032,0.110569,0.127964,0.139358,0.143455,0.14003,0.12977,0.114059,0.0947945,0.138268,0.159891,0.167825,0.159891,0.138268,0.10853,0.0773234,0.0500037,6.0274E-11,6.02735E-11,1,1.20595E-17,5.66995E-11,2.6608E-17,7.15080E-19,2.3276E-12,1.246E-12
"Risk Neutral CM 1 Noise 2,2 FSM 2","0","145","PrecPower4",0.125,0.999911,8.93321E-05,0.4375,5.904E-11,5.90397E-11,1,8.93321E-05,9.78201E-06,4,2,0.774677,0,0,0,1,0,0,0,0,1,1,0.299084,0.299084,,,5.48311E-11,,,,,2.58750E-17,8.42066E-19,4.21E-12,0.373412,9.99991,9.99998,19.9999,0.000109332,9.99991,9.99998,2.44576E-11,3.056E-11,0,3.0558E-11,2.21616E-11,0,9.95503E-05,9.95503E-05,2.00002E-05,7.95501E-05,0,7.95501E-05,0,5.4831E-11,0.302851,2.58750E-17,8.42066E-19,5.17708E-24,0,0,0.171963,0.105307,0.123349,0.136201,0.142356,0.141199,0.132961,0.118651,0.0999765,0.102529,0.130623,0.15105,0.158546,0.15105,0.130623,0.102529,0.0730482,5.904E-11,5.90397E-11,1,1.18127E-17,5.48311E-11,2.58750E-17,8.42066E-19,2.6371E-12,1.572E-12
"Risk Neutral CM 1 Noise 2,2 FSM 2","0","145","PrecPower5",0.125,0.999913,8.72933E-05,0.5625,5.842E-11,5.84232E-11,1,8.72933E-05,9.78968E-06,5,2,0.875685,0,0,0,0,1,0,0,0,1,1,0.304472,0.304472,,,5.37344E-11,,,,,2.53998E-17,9.3813E-19,4.69E-12,0.398429,9.99991,9.99998,19.9999,0.000107294,9.99991,9.99998,2.4307E-11,1.448E-11,1.374E-11,2.8218E-11,1.07166E-11,8.75909E-12,9.75038E-05,9.75039E-05,2.00002E-05,7.75036E-05,1.95933E-11,7.75036E-05,0,5.3734E-11,0.309225,2.53998E-17,9.3813E-19,5.08199E-24,2.46897E-07,0,-0.171956,0.099976,0.11865,0.13296,0.141198,0.142356,0.136201,0.12335,0.105308,0.0730482,0.102529,0.130623,0.15105,0.158546,0.15105,0.130623,0.10253,5.8423E-11,5.84232E-11,1,1.16893E-17,5.37344E-11,2.53998E-17,9.3813E-19,2.8206E-12,1.868E-12
"Risk Neutral CM 1 Noise 2,2 FSM 2","0","145","PrecPower6",0.125,0.999914,8.62209E-05,0.6875,5.841E-11,5.84051E-11,1,8.62209E-05,9.89309E-06,6,2,0.973391,0,0,0,0,0,1,0,0,1,1,0.309912,0.309912,,,5.34684E-11,,,,,2.51489E-17,9.87727E-19,4.94E-12,0.4228,9.99991,9.99998,19.9999,0.000106221,9.99991,9.99998,2.43494E-11,6.407E-12,3.309E-11,3.9494E-11,2.87936E-12,3.23404E-11,9.6328E-05,9.6328E-05,2.00002E-05,7.63278E-05,3.71978E-11,7.63277E-05,0,5.3468E-11,0.315444,2.51489E-17,9.87727E-19,5.03178E-24,4.7731E-07,0,-0.509027,0.0947942,0.114059,0.12977,0.14003,0.143455,0.139358,0.127964,0.110569,0.0500037,0.0773234,0.10853,0.138268,0.159891,0.167825,0.159891,0.138268,5.8405E-11,5.84051E-11,1,1.16857E-17,5.34684E-11,2.51489E-17,9.87727E-19,2.8494E-12,2.087E-12
"Risk Neutral CM 1 Noise 2,2 FSM 2","0","145","PrecPower7",0.125,0.999914,8.5899E-05,0.8125,5.886E-11,5.88603E-11,1,8.5899E-05,1.00728E-05,7,2,1.06746,0,0,0,0,0,0,1,0,1,1,0.31517,0.31517,,,5.39396E-11,,,,,2.50555E-17,9.84523E-19,4.92E-12,0.445687,9.99991,9.99998,19.9999,0.000105899,9.99991,9.99998,2.45282E-11,1.974E-12,8.5899E-5,8.58989E-5,1.77638E-12,8.58989E-05,9.58264E-05,9.58264E-05,2.00002E-05,7.58262E-05,7.58261E-05,4.9139800000000005E-11,0,5.394E-11,0.321114,2.50555E-17,9.84523E-19,5.01310E-24,0.999999,0,-0.826833,0.0899559,0.109751,0.126752,0.138899,0.144457,0.142312,0.132316,0.115557,0.0329383,0.0561156,0.0867747,0.121796,0.155169,0.179434,0.188339,0.179434,5.886E-11,5.88603E-11,1,1.17768E-17,5.39396E-11,2.50555E-17,9.84523E-19,2.7276E-12,2.193E-12
"Risk Neutral CM 1 Noise 2,2 FSM 2","0","145","PrecPower8",0.125,0.999914,8.60408E-05,0.9375,5.961E-11,5.96062E-11,1,8.60408E-05,1.02983E-05,8,2,1.15755,0,0,0,0,0,0,0,1,1,1,0.320052,0.320052,,,5.49434E-11,,,,,2.50436E-17,9.32935E-19,4.66E-12,0.466513,9.99991,9.99998,19.9999,0.000106041,9.99991,9.99998,2.4775E-11,1.958E-12,8.6041E-5,8.60407E-5,1.76196E-12,8.60407E-05,9.57426E-05,9.57427E-05,2.00002E-05,7.57424E-05,7.57424E-05,3.29688E-11,0,5.4943E-11,0.325996,2.50436E-17,9.32935E-19,5.01072E-24,1,0,-1.11628,0.085598,0.10585,0.124,0.137843,0.145337,0.144979,0.136275,0.120118,0.0209382,0.0393005,0.0669546,0.103536,0.145321,0.18514,0.214093,0.224717,5.9606E-11,5.96062E-11,1,1.1926E-17,5.49434E-11,2.50436E-17,9.32935E-19,2.4875E-12,2.175E-12
