"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","Activity","Accident","WrongAttrib","PrecPower","PrecLevel","BCRatio","PrecPower1","PrecPower2","PrecPower3","PrecPower4","PrecPower5","PrecPower6","PrecPower7","PrecPower8","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"MODRA CM 4 PCPM 10 DM 0.5","6.425E-09","0.8792","77","PrePrimary4",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MODRA CM 4 PCPM 10 DM 0.5","6.425E-09","0.8792","77","PrePrimary5",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MODRA CM 4 PCPM 10 DM 0.5","6.425E-09","0.8792","77","PrePrimary6",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MODRA CM 4 PCPM 10 DM 0.5","6.425E-09","0.8792","77","PrePrimary7",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MODRA CM 4 PCPM 10 DM 0.5","6.425E-09","0.8792","77","PrePrimary8",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MODRA CM 4 PCPM 10 DM 0.5","6.425E-09","0.8792","77","PrePrimary9",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MODRA CM 4 PCPM 10 DM 0.5","6.425E-09","0.8792","77","PrePrimary10",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MODRA CM 4 PCPM 10 DM 0.5","6.425E-09","0.8792","77","Truly Liable",3.2E-5,0,1,1.22379,1,0,1,1,0.0959958,6.61893,0.386435,1.20868,0,0,0,0,0.212812,0.236548,0.269539,0.281102,1,1,,,,,0,,,,,0,0,0,,9.1,9.5,18.6,1.4,999.058,999.679,0.4,0,0.9,0.9,0,0.81,0.904008,1.30401,3.86435E-06,0.904004,0.904004,0,0,0,,0,0,0,1,0,0.116341,0.00638266,0.0557582,0.207255,0.371701,0.358903,0.00855337,0.0705289,0.245801,0.357955,0.317161,1,0,0,1,0,0,0,0,0
"MODRA CM 4 PCPM 10 DM 0.5","6.425E-09","0.8792","77","Truly Not Liable",5.9E-5,0,1,0.514562,1,0,1,1,0.116636,3.07281,2.4949,0.568993,0.23108,0.211759,0.195272,0.185132,0.0638692,0.0486393,0.033298,0.0309503,1,1,,,,,0,,,,,0,0,0,,9.1,9.49998,18.6,1.40002,999.058,999.679,0.4,0.5,0,0.5,0.25,0,0.883388,1.28339,2.4949E-05,0.883364,0,0.883364,0,0,,0,0,0,0,0,-0.0407527,0.292162,0.318568,0.221593,0.113021,0.0546553,0.291561,0.312912,0.207585,0.119658,0.0682835,1,0,0,1,0,0,0,0,0
"MODRA CM 4 PCPM 10 DM 0.5","6.425E-09","0.8792","77","Liability Strength1",0.125,0.99989,0.000109752,0.1,0.0001098,0,1,0.000109752,1.08383E-05,1,2.33532,0.421964,1,0,0,0,0,0,0,0,1,1,,,,,0,,,,,0,0,0,,9.9999,9.99992,19.9998,0.000177006,1000,1000,4.39007E-05,5.4876E-5,0,5.48759E-5,2.7438E-05,0,0.000122267,0.000166167,2.33532E-05,9.89136E-05,0,9.89136E-05,0,0,,0,0,0,0,0,0.591809,0.366267,0.336054,0.190319,0.0800004,0.0273589,0.605115,0.321408,0.0676986,0.00559871,0.00017967,0.00010975,0,0.99989,0.000109752,0,0,0,0,0
"MODRA CM 4 PCPM 10 DM 0.5","6.425E-09","0.8792","77","Liability Strength2",0.125,0.999899,0.000100576,0.3,0.0001006,0,1,0.000100576,1.01475E-05,2,2.34166,0.516531,0,1,0,0,0,0,0,0,1,1,,,,,0,,,,,0,0,0,,9.99991,9.99993,19.9998,0.000164223,1000,1000,4.02304E-05,5.0288E-5,0,5.02879E-5,2.5144E-05,0,0.000113845,0.000154075,2.34166E-05,9.04284E-05,0,9.04284E-05,0,0,,0,0,0,0,0,0.456895,0.322428,0.319362,0.207366,0.1059,0.0449433,0.424677,0.400955,0.150685,0.0223829,0.00129973,0.00010058,0,0.999899,0.000100576,0,0,0,0,0
"MODRA CM 4 PCPM 10 DM 0.5","6.425E-09","0.8792","77","Liability Strength3",0.125,0.999907,9.27458E-05,0.5,9.2746E-5,0,1,9.27458E-05,9.574E-06,3,2.36243,0.605662,0,0,1,0,0,0,0,0,1,1,,,,,0,,,,,0,0,0,,9.99992,9.99993,19.9998,0.000153468,1000,1000,3.70983E-05,4.6373E-5,0,4.63729E-5,2.31865E-05,0,0.000106796,0.000143894,2.36243E-05,8.31718E-05,0,8.31718E-05,0,0,,0,0,0,0,0,0.286925,0.262224,0.290269,0.225951,0.144925,0.076631,0.242182,0.406369,0.271722,0.0721788,0.00754906,9.27458E-5,0,0.999907,9.27458E-05,0,0,0,0,0
"MODRA CM 4 PCPM 10 DM 0.5","6.425E-09","0.8792","77","Liability Strength4",0.125,0.999912,8.79297E-05,0.7,8.793E-05,0,1,8.79297E-05,9.32746E-06,4,2.41412,0.687567,0,0,0,1,0,0,0,0,1,1,,,,,0,,,,,0,0,0,,9.99992,9.99993,19.9999,0.000147243,1000,1000,3.51719E-05,4.3965E-5,0,4.39648E-5,2.19824E-05,0,0.000102743,0.000137915,2.41412E-05,7.86022E-05,0,7.86022E-05,0,0,,0,0,0,0,0,0.0973152,0.192435,0.247053,0.238842,0.194975,0.126695,0.104925,0.313388,0.372375,0.176261,0.0330515,8.79297E-5,0,0.999912,8.79297E-05,0,0,0,0,0
