"OptionSet","Exploit","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","Activity","Accident","WrongAttrib","PrecPower","PrecLevel","BCRatio","PrecPower1","PrecPower2","PrecPower3","PrecPower4","PrecPower5","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"Risk Neutral CM 0.25 Noise 0.25,0.25 FSM 0 DM 1 LT 1 UPC 1E-05","0","38","All",1,0.999929,7.10044E-05,0.5,7.1004E-5,7.10043E-05,1,7.10044E-05,9.99939E-06,3,2.8001,0.865851,0.2,0.2,0.2,0.2,0.2,1,1,0.124749,0.100001,,,6.88078E-05,,,,,2.73486E-11,4.39521E-13,2.197E-6,0.499847,9.99993,9.99996,19.9999,0.000106216,9.99993,9.99996,7.21026E-06,1.0505E-5,9.2744E-8,1.05982E-5,1.58404E-06,1.8621E-08,8.90062E-05,9.62165E-05,2.80012E-05,6.1005E-05,9.57383E-07,6.00476E-05,0,6.88078E-5,0.100001,2.73486E-11,4.39521E-13,5.47192E-18,0.0153346,0,0,0.199894,0.200106,0.2,0.200106,0.199894,0.199894,0.200106,0.2,0.200106,0.199894,7.10044E-5,7.10043E-05,0.999929,1.42066E-11,6.88078E-05,2.73486E-11,4.39521E-13,1.0986E-06,1.0979E-6
"Risk Neutral CM 0.25 Noise 0.25,0.25 FSM 0 DM 1 LT 1 UPC 1E-05","0","38","NoDispute",0.9999,1,0,0.500006,0,0,1,0,0,3.00003,2.80013,0.86585,0.199994,0.199997,0.2,0.200003,0.200005,1,1,,,,,0,,,,,0,0,0,,10,9.99997,20,2.80015E-05,10,9.99997,0,0,0,0,0,0,2.80015E-05,2.80015E-05,2.80015E-05,0,0,0,0,0,,0,0,0,,0,-2.44745E-07,0.199888,0.200103,0.2,0.200109,0.199899,0.199888,0.200103,0.2,0.200109,0.199899,0,0,1,0,0,0,0,0,0
"Risk Neutral CM 0.25 Noise 0.25,0.25 FSM 0 DM 1 LT 1 UPC 1E-05","0","38","DisputeArises",7.1E-5,0,1,0.421912,1,1,1,1,0.140828,2.60956,2.47938,0.884341,0.279696,0.241288,0.197683,0.152421,0.128911,1,1,0.124749,0.100001,,,0.969064,,,,,3.85168E-07,6.19005E-09,0.030935,0.499847,9.0616,9.83683,18.8984,1.10157,9.0616,9.83683,0.101547,0.147955,0.0013062,0.149261,0.022309,0.000262251,0.859197,0.960744,2.47938E-05,0.859172,0.0134834,0.845689,0,0.969064,0.100001,3.85168E-07,6.19005E-09,7.70646E-14,0.0153346,0,0.00344666,0.278867,0.241527,0.197535,0.153483,0.128588,0.280092,0.241494,0.19736,0.152479,0.128575,1,1,2.0008E-07,2.0008E-07,0.969064,3.85168E-07,6.19005E-09,0.0154722,0.0154627
"Risk Neutral CM 0.25 Noise 0.25,0.25 FSM 0 DM 1 LT 1 UPC 1E-05","0","38","PFiles",7.1E-5,0,1,0.421912,1,1,1,1,0.140828,2.60956,2.47938,0.884341,0.279696,0.241288,0.197683,0.152421,0.128911,1,1,0.124749,0.100001,,,0.969064,,,,,3.85168E-07,6.19005E-09,0.030935,0.499847,9.0616,9.83683,18.8984,1.10157,9.0616,9.83683,0.101547,0.147955,0.0013062,0.149261,0.022309,0.000262248,0.859197,0.960744,2.47938E-05,0.859172,0.0134834,0.845689,0,0.969064,0.100001,3.85168E-07,6.19005E-09,7.70646E-14,0.0153346,0,0.00344666,0.278867,0.241527,0.197535,0.153483,0.128588,0.280092,0.241494,0.19736,0.152479,0.128575,1,1,0,2.0008E-07,0.969064,3.85168E-07,6.19005E-09,0.0154722,0.0154627
"Risk Neutral CM 0.25 Noise 0.25,0.25 FSM 0 DM 1 LT 1 UPC 1E-05","0","38","DAnswers",7.1E-5,0,1,0.421912,1,1,1,1,0.140828,2.60956,2.47938,0.884341,0.279696,0.241288,0.197683,0.152421,0.128911,1,1,0.124749,0.100001,,,0.969065,,,,,3.85168E-07,6.19006E-09,0.030935,0.499847,9.0616,9.83683,18.8984,1.10157,9.0616,9.83683,0.101547,0.147954,0.0013062,0.149261,0.0223088,0.000262248,0.859197,0.960744,2.47938E-05,0.859172,0.0134834,0.845689,0,0.969065,0.100001,3.85168E-07,6.19006E-09,7.70646E-14,0.0153346,0,0.00344666,0.278867,0.241527,0.197535,0.153483,0.128588,0.280092,0.241494,0.19736,0.152479,0.128575,1,1,0,0,0.969065,3.85168E-07,6.19006E-09,0.0154722,0.0154628
"Risk Neutral CM 0.25 Noise 0.25,0.25 FSM 0 DM 1 LT 1 UPC 1E-05","0","38","Litigated",7.1E-5,0,1,0.421912,1,1,1,1,0.140828,2.60956,2.47938,0.884341,0.279696,0.241288,0.197683,0.152421,0.128911,1,1,0.124749,0.100001,,,0.969065,,,,,3.85168E-07,6.19006E-09,0.030935,0.499847,9.0616,9.83683,18.8984,1.10157,9.0616,9.83683,0.101547,0.147954,0.0013062,0.149261,0.0223088,0.000262248,0.859197,0.960744,2.47938E-05,0.859172,0.0134834,0.845689,0,0.969065,0.100001,3.85168E-07,6.19006E-09,7.70646E-14,0.0153346,0,0.00344666,0.278867,0.241527,0.197535,0.153483,0.128588,0.280092,0.241494,0.19736,0.152479,0.128575,1,1,0,0,0.969065,3.85168E-07,6.19006E-09,0.0154722,0.0154628
"Risk Neutral CM 0.25 Noise 0.25,0.25 FSM 0 DM 1 LT 1 UPC 1E-05","0","38","Not Litigated",0.9999,1,2.84151E-11,0.500006,1.421E-11,0,1,2.84151E-11,4.00164E-12,3.00003,2.80013,0.86585,0.199994,0.199997,0.2,0.200003,0.200005,1,1,,,,,0,,,,,0,0,0,,10,9.99997,20,2.80015E-05,10,9.99997,3.55189E-13,1.399E-11,2.233E-13,1.4213E-11,1.39897E-11,2.18003E-13,2.80015E-05,2.80015E-05,2.80015E-05,2.44135E-11,3.83134E-13,2.4030399999999998E-11,0,0,,0,0,0,0.0153346,0,-2.44745E-07,0.199888,0.200103,0.2,0.200109,0.199899,0.199888,0.200103,0.2,0.200109,0.199899,1.4208E-11,0,1,1.42076E-11,0,0,0,0,0
"Risk Neutral CM 0.25 Noise 0.25,0.25 FSM 0 DM 1 LT 1 UPC 1E-05","0","38","Settles",6.9E-5,0,1,0.423511,1,1,1,1,0.141462,2.61756,2.499,0.879034,0.282182,0.237353,0.194218,0.153221,0.133026,1,1,0.100001,0.100001,,,1,,,,,0,0,0,,9.05,9.84997,18.9,1.10002,9.05,9.84997,0.1,0.149995,3.102E-05,0.150026,0.0224994,2.938E-05,0.858563,0.958563,2.499E-05,0.858538,2.92663E-05,0.858509,0,1,0.100001,0,0,0,3.32719E-05,0,-0.0287266,0.287769,0.236561,0.19321,0.149861,0.132598,0.276212,0.238596,0.195165,0.157347,0.13268,1,1,0,0,1,0,0,0,0
"Risk Neutral CM 0.25 Noise 0.25,0.25 FSM 0 DM 1 LT 1 UPC 1E-05","0","38","Tried",2.2E-6,0,1,0.371831,1,1,1,1,0.12097,2.35916,1.8645,1.05059,0.20182,0.364573,0.306237,0.127369,1.0706E-10,1,1,0.899996,0.1,,,0,,,,,0,0,1,0.499847,9.42485,9.42513,18.85,1.15002,9.42485,9.42513,0.15,0.0840258,0.0412514,0.125277,0.0163394,0.00755705,0.879048,1.02905,1.8645E-05,0.87903,0.434947,0.444083,0,0,,0,0,0,0.494661,0,1.0113,6.92483E-06,0.397065,0.333025,0.266933,0.00297029,0.401617,0.332271,0.266112,1.66615E-12,6.65541E-13,1,1,0,0,0,0,0,0.500153,0.499847
"Risk Neutral CM 0.25 Noise 0.25,0.25 FSM 0 DM 1 LT 1 UPC 1E-05","0","38","PWins",1.1E-6,0,1,0.465814,1,1,1,1,0.120562,2.82907,1.84775,1.17117,0.00856581,0.404825,0.335583,0.251027,2.12851E-10,1,1,0.899999,0.1,,,0,,,,,0,0,1,1,9.925,8.92498,18.85,1.15002,9.925,8.92498,0.15,0.09368,0.073599,0.167279,0.027107,0.00551992,0.879457,1.02946,1.84775E-05,0.879438,0.862922,0.0165167,0,0,,0,0,0,0.98132,0,1.0223,6.38655E-07,0.396701,0.34232,0.255199,0.0057794,0.405708,0.340833,0.253459,1.70621E-12,1.90729E-18,1,1,0,0,0,0,0,0,1
"Risk Neutral CM 0.25 Noise 0.25,0.25 FSM 0 DM 1 LT 1 UPC 1E-05","0","38","DWins",1.1E-6,0,1,0.277906,1,1,1,1,0.121378,1.88953,1.88123,0.930084,0.394956,0.324346,0.27691,0.00378822,1.33417E-12,1,1,0.899993,0.1,,,0,,,,,0,0,1,0,8.925,9.92498,18.85,1.15002,8.925,9.92498,0.15,0.0743774,0.0089237,0.0833011,0.00557831,0.00959293,0.878641,1.02864,1.88123E-05,0.878622,0.00723425,0.871388,0,0,,0,0,0,0.00830107,0,1.0003,1.32072E-05,0.397428,0.323735,0.27866,0.000162905,0.397528,0.323714,0.278758,1.62611E-12,1.33067E-12,1,1,0,0,0,0,0,1,0
"Risk Neutral CM 0.25 Noise 0.25,0.25 FSM 0 DM 1 LT 1 UPC 1E-05","0","38","Abandoned",3E-11,0,1,0.655368,1,1,1,1,0.174739,3.77684,3.53412,0.814233,0.0150408,0.025974,0.389711,0.305655,0.26362,1,1,0.604745,0.100001,,,0,,,,,0.984183,0.0158168,0,,8.96582,9.93415,18.9,1.10004,8.96582,9.93415,0.1,0.057991,0.0004163,0.0584073,0.0112914,4.58646E-05,0.825297,0.925297,3.53412E-05,0.825261,0.00690052,0.818361,0,0,,0.984183,0.0158168,1.96916E-07,0.00784848,0,-0.0409339,0.0229021,0.0249192,0.388155,0.301204,0.262819,0.00635225,0.027926,0.390971,0.311817,0.262934,1,1,0,0,0,0.984183,0.0158168,0,0
"Risk Neutral CM 0.25 Noise 0.25,0.25 FSM 0 DM 1 LT 1 UPC 1E-05","0","38","PrecPower1",0.2,0.999901,9.92983E-05,0.1,9.9298E-5,9.92983E-05,1,9.92983E-05,1.00021E-05,1,1.02328,0.9322,1,0,0,0,0,1,1,0.117857,0.100001,,,9.70818E-05,,,,,1.64629E-12,4.43497E-13,2.217E-6,0.0212149,9.99991,9.99997,19.9999,0.000119572,9.99991,9.99997,1.00407E-05,1.4776E-5,3.308E-12,1.47756E-5,2.25092E-06,4.96147E-13,9.95292E-05,0.00010957,1.0233E-05,8.92962E-05,2.00463E-11,8.92962E-05,0,9.70818E-5,0.1,1.64629E-12,4.43497E-13,3.29393E-19,2.22065E-07,0,0.0444485,0.933812,0.0646597,0.00151615,1.20415E-05,1.57247E-12,0.97672,0.0232796,1.01309E-09,0,0,9.92983E-5,9.92983E-05,0.999901,1.98676E-11,9.70818E-05,1.64629E-12,4.43497E-13,2.16949E-6,4.7023E-8
"Risk Neutral CM 0.25 Noise 0.25,0.25 FSM 0 DM 1 LT 1 UPC 1E-05","0","38","PrecPower2",0.2,0.999914,8.56626E-05,0.3,8.5663E-5,8.56626E-05,1,8.56626E-05,9.99495E-06,2,2,0.957849,0,1,0,0,0,1,1,0.137393,0.100001,,,8.16586E-05,,,,,2.8077E-12,8.01145E-13,4.004E-6,0.555033,9.99992,9.99997,19.9999,0.000114429,9.99992,9.99997,8.76646E-06,1.259E-05,1.8244E-7,1.27721E-5,1.9082E-06,3.21435E-08,9.56679E-05,0.000104434,2.00002E-05,7.56677E-05,1.97412E-06,7.36936E-05,0,8.16586E-5,0.100001,2.8077E-12,8.01145E-13,5.61768E-19,0.0256619,0,0.00104781,0.0641419,0.872174,0.0621909,0.00148168,1.17739E-05,0.0227501,0.9545,0.0227499,9.90053E-10,0,8.56626E-5,8.56626E-05,0.999914,1.71394E-11,8.16586E-05,2.8077E-12,8.01145E-13,1.78163E-6,2.2223E-6
"Risk Neutral CM 0.25 Noise 0.25,0.25 FSM 0 DM 1 LT 1 UPC 1E-05","0","38","PrecPower3",0.2,0.99993,7.01819E-05,0.5,7.0182E-5,7.01819E-05,1,7.01819E-05,1.00121E-05,3,3,0.879194,0,0,1,0,0,1,1,0.138339,0.100001,,,6.68186E-05,,,,,5.34737E-11,6.72976E-13,3.363E-6,0.547745,9.99993,9.99996,19.9999,0.000107368,9.99993,9.99996,7.18635E-06,1.0287E-5,1.516E-07,1.04387E-5,1.53758E-06,2.54216E-08,9.01701E-05,9.73564E-05,3.00002E-05,6.01699E-05,1.62073E-06,5.85491E-05,0,6.68186E-5,0.100001,5.34737E-11,6.72976E-13,1.0699E-17,0.0262561,0,7.81676E-07,0.00150466,0.0622025,0.872585,0.0622031,0.00150469,9.90033E-10,0.0227501,0.9545,0.0227499,9.90062E-10,7.01819E-5,7.01819E-05,0.99993,1.4042E-11,6.68186E-05,5.34737E-11,6.72976E-13,1.52106E-6,1.8422E-6
"Risk Neutral CM 0.25 Noise 0.25,0.25 FSM 0 DM 1 LT 1 UPC 1E-05","0","38","PrecPower4",0.2,0.999946,5.41129E-05,0.7,5.4113E-5,5.41129E-05,1,5.41129E-05,9.9691E-06,4,3.97725,0.693125,0,0,0,1,0,1,1,0.120682,0.100001,,,5.2714E-05,,,,,4.2188E-11,2.7993E-13,1.399E-6,0.985124,9.99995,9.99995,19.9999,9.93668E-05,9.99995,9.99995,5.48123E-06,8.0098E-6,1.2967E-7,8.13951E-6,1.19374E-06,3.55379E-08,8.39165E-05,8.93977E-05,3.97727E-05,4.41438E-05,1.19198E-06,4.29518E-05,0,5.2714E-05,0.100001,4.2188E-11,2.7993E-13,8.44098E-18,0.0259284,0,-0.00104661,1.17739E-05,0.00148169,0.0621917,0.872171,0.0641436,0,9.9005E-10,0.02275,0.9545,0.0227499,5.41129E-5,5.41129E-05,0.999946,1.08269E-11,5.2714E-05,4.2188E-11,2.7993E-13,2.08086E-8,1.378E-06
"Risk Neutral CM 0.25 Noise 0.25,0.25 FSM 0 DM 1 LT 1 UPC 1E-05","0","38","PrecPower5",0.2,0.999954,4.57661E-05,0.9,4.5766E-5,4.57661E-05,1,4.57661E-05,1.00188E-05,5,4,0.86689,0,0,0,0,1,1,1,0.100002,0.100002,,,4.57661E-05,,,,,3.66275E-11,5.59064E-17,1.18E-15,0.993767,9.99996,9.99995,19.9999,9.03429E-05,9.99996,9.99995,4.57661E-06,6.8649E-6,9.833E-12,6.86493E-6,1.02975E-06,1.47503E-12,7.57476E-05,8.03242E-05,4.00002E-05,3.57474E-05,5.75402E-11,3.57473E-05,0,4.57661E-5,0.100001,3.66275E-11,5.59064E-17,7.32843E-18,1.43244E-06,0,-0.0444505,1.5725E-12,1.20418E-05,0.00151621,0.0646617,0.93381,0,0,1.01312E-09,0.0232798,0.97672,4.57661E-5,4.57661E-05,0.999954,9.15689E-12,4.57661E-05,3.66275E-11,5.59064E-17,7.3286E-18,1.168E-15
