"OptionSet","Exploit","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","Activity","Accident","WrongAttrib","PrecPower","PrecLevel","BCRatio","PrecPower1","PrecPower2","PrecPower3","PrecPower4","PrecPower5","PrecPower6","PrecPower7","PrecPower8","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","PLiabilitySignal6","PLiabilitySignal7","PLiabilitySignal8","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","DLiabilitySignal6","DLiabilitySignal7","DLiabilitySignal8","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"Risk Neutral CM 4 FSM 0.5 DM 0.5","0","376","All",1,0.99989,0.000109999,0.5,0.00011,2.20086E-11,1,0.000109999,9.999E-06,4.5,5.60224E-06,1.06943,0.125,0.125,0.125,0.125,0.125,0.124999,0.125,0.125001,1,1,0.937499,0.269117,,,2.26319E-12,,,,,8.71641E-12,9.63175E-12,1.4E-12,0.537642,9.9999,9.99995,19.9998,0.000153999,9.9999,9.99995,4.39996E-05,2.0794E-5,6.1571E-5,8.23642E-5,1.03968E-05,5.54137E-05,0.0001,0.000144,2.56102E-10,9.99999E-05,6.21932E-05,3.78067E-05,0,2.2632E-12,0.468745,8.71641E-12,9.63175E-12,4.15558E-12,0.621932,0,-1.70975E-15,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.00011,2.20086E-11,0.99989,0.000109999,2.26319E-12,8.71641E-12,9.63175E-12,6.4602E-13,7.512E-13
"Risk Neutral CM 4 FSM 0.5 DM 0.5","0","376","NoDispute",0.9999,1,0,0.5,0,0,1,0,0,4.5,5.60246E-06,1.06943,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,1,1,,,,,0,,,,,0,0,0,,10,10,20,2.56127E-10,10,10,0,0,0,0,0,0,2.56127E-10,2.56127E-10,2.56127E-10,0,0,0,0,0,,0,0,0,,0,0,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0,0,1,0,0,0,0,0,0
"Risk Neutral CM 4 FSM 0.5 DM 0.5","0","376","DisputeArises",0.0001,0,1,0.499691,1,2.0008E-07,1,1,0.0909009,4.49753,3.62896E-06,1.06877,0.127401,0.124946,0.125721,0.126214,0.122194,0.118977,0.122995,0.131553,1,1,0.937499,0.269117,,,2.05747E-08,,,,,7.92409E-08,8.75623E-08,1.27E-08,0.537642,9.1,9.5,18.6,1.4,9.1,9.5,0.4,0.189034,0.559739,0.748773,0.094517,0.503765,0.909099,1.3091,3.62896E-11,0.909099,0.565398,0.343701,0,2.05747E-8,0.468745,7.92409E-08,8.75623E-08,3.77784E-08,0.621932,0,-6.36793E-14,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,1,2.0008E-07,2.0008E-07,1,2.05747E-08,7.92409E-08,8.75623E-08,5.87297E-9,6.8292E-9
"Risk Neutral CM 4 FSM 0.5 DM 0.5","0","376","PFiles",0.0001,0,1,0.499691,1,2.0008E-07,1,1,0.0909009,4.49753,3.62896E-06,1.06877,0.127401,0.124946,0.125721,0.126214,0.122194,0.118977,0.122995,0.131553,1,1,0.937499,0.269117,,,2.05747E-08,,,,,7.92409E-08,8.75623E-08,1.27E-08,0.537642,9.1,9.5,18.6,1.4,9.1,9.5,0.4,0.189034,0.559739,0.748773,0.094517,0.503765,0.909099,1.3091,3.62896E-11,0.909099,0.565398,0.343701,0,2.05747E-8,0.468745,7.92409E-08,8.75623E-08,3.77784E-08,0.621932,0,-5.13533E-14,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,1,2.0008E-07,0,1,2.05747E-08,7.92409E-08,8.75623E-08,5.87297E-9,6.8292E-9
"Risk Neutral CM 4 FSM 0.5 DM 0.5","0","376","DAnswers",2E-11,0,1,0.499691,1,1,1,1,0.0909009,4.49753,3.62896E-06,1.06877,0.127401,0.124946,0.125721,0.126214,0.122194,0.118977,0.122995,0.131553,1,1,0.937499,0.269117,,,0.102832,,,,,0.396046,0.437636,0.063486,0.537642,8.46156,8.88765,17.3492,2.65079,8.46156,8.88765,1.65079,0.513542,0.870283,1.38382,0.408787,1.26358,0.909099,2.55989,3.62896E-11,0.909099,0.565398,0.343701,0,0.102832,0.468745,0.396046,0.437636,0.188816,0.621932,0,-4.21461E-13,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,1,1,0,0,0.102832,0.396046,0.437636,0.0293531,0.0341325
"Risk Neutral CM 4 FSM 0.5 DM 0.5","0","376","Litigated",2E-11,0,1,0.499691,1,1,1,1,0.0909009,4.49753,3.62896E-06,1.06877,0.127401,0.124946,0.125721,0.126214,0.122194,0.118977,0.122995,0.131553,1,1,0.937499,0.269117,,,0.102832,,,,,0.396046,0.437636,0.063486,0.537642,8.46156,8.88765,17.3492,2.65079,8.46156,8.88765,1.65079,0.513542,0.870283,1.38382,0.408787,1.26358,0.909099,2.55989,3.62896E-11,0.909099,0.565398,0.343701,0,0.102832,0.468745,0.396046,0.437636,0.188816,0.621932,0,-4.21461E-13,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,1,1,0,0,0.102832,0.396046,0.437636,0.0293531,0.0341325
"Risk Neutral CM 4 FSM 0.5 DM 0.5","0","376","Not Litigated",1,0.99989,0.000109999,0.5,0.00011,0,1,0.000109999,9.999E-06,4.5,5.60224E-06,1.06943,0.125,0.125,0.125,0.125,0.125,0.124999,0.125,0.125001,1,1,,,,,0,,,,,0,0,0,,9.9999,9.99995,19.9998,0.000153999,9.9999,9.99995,4.39996E-05,2.0794E-5,6.1571E-5,8.23642E-5,1.03968E-05,5.54136E-05,0.0001,0.000144,2.56102E-10,9.99999E-05,6.21932E-05,3.78067E-05,0,0,,0,0,0,0.621932,0,-1.58437E-15,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.00011,0,0.99989,0.000109999,0,0,0,0,0
"Risk Neutral CM 4 FSM 0.5 DM 0.5","0","376","Settles",2E-12,0,1,0.841279,1,1,1,1,0.0909011,7.23023,3.12875E-05,1.35821,2.99476E-05,0.000292235,0.00230891,0.0127246,0.0481236,0.134248,0.292492,0.50978,1,1,0.93749,0.937491,,,1,,,,,0,0,0,,8.66875,8.73125,17.4,2.6,8.66875,8.73125,1.6,0.27138,1.32774,1.59912,0.0762693,1.76756,0.909099,2.5091,3.12875E-10,0.909099,0.906704,0.00239455,0,1,0.468745,0,0,0,0.997366,0,-1.50625,0.00225513,0.00784992,0.0234021,0.0593241,0.12544,0.214215,0.28435,0.283162,1.47206E-06,1.74076E-06,1.72827E-06,1.6604E-06,1.98952E-06,2.30569E-06,2.18426E-06,0.999987,1,1,0,0,1,0,0,0,0
"Risk Neutral CM 4 FSM 0.5 DM 0.5","0","376","Tried",1E-12,0,1,0.429817,1,1,1,1,0.0909008,3.93854,4.84109E-07,1.02115,0.0373999,0.108241,0.226519,0.292994,0.213087,0.0903344,0.0257147,0.00571037,1,1,0.937499,0.0625005,,,0,,,,,0,0,1,0.537642,8.11399,8.48601,16.6,3.4,8.11399,8.48601,2.4,0.964663,1.0243,1.98896,1.3863,2.06102,0.909099,3.3091,4.84109E-12,0.909099,0.570768,0.338331,0,0,,0,0,0,0.627839,0,3.31564,3.54825E-13,3.92301E-13,3.40808E-13,1.73852E-07,0.530527,0.282821,0.132387,0.054265,0.150354,0.30454,0.545105,3.12463E-07,7.8929E-08,4.67886E-13,4.7606E-13,4.11761E-13,1,1,0,0,0,0,0,0.462358,0.537642
"Risk Neutral CM 4 FSM 0.5 DM 0.5","0","376","PWins",8E-13,0,1,0.502618,1,1,1,1,0.0909008,4.52094,4.82996E-07,1.08884,0.00620755,0.0393975,0.151705,0.303696,0.294687,0.148036,0.0457793,0.0104912,1,1,0.937499,0.0625005,,,0,,,,,0,0,1,1,8.9,7.7,16.6,3.4,8.9,7.7,2.4,1.49731,0.882959,2.38027,2.40031,0.971255,0.909099,3.3091,4.82996E-12,0.909099,0.729725,0.179374,0,0,,0,0,0,0.80269,0,3.3628,9.00144E-14,1.31434E-13,1.56544E-13,1.09925E-07,0.447771,0.302652,0.169994,0.0795826,0.102811,0.275795,0.621394,3.90875E-07,8.88205E-08,7.70853E-13,8.31931E-13,7.38106E-13,1,1,0,0,0,0,0,0,1
