"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","Activity","Accident","WrongAttrib","PrecPower","PrecLevel","BCRatio","PrecPower1","PrecPower2","PrecPower3","PrecPower4","PrecPower5","PrecPower6","PrecPower7","PrecPower8","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"MODRA CM 0.25 PCPM 5 DM 2","2.737E-08","0.9347","216","P Files",8E-05,0,1,0.750902,1,1,1,1,0.124761,4.25451,3.13478,0.716094,0.155699,0.142184,0.129004,0.119642,0.113988,0.111945,0.113041,0.114495,1,1,0.103085,0.116764,,,0.996418,,,,,4.36924E-07,1.45516E-13,0.003581,0.156829,9.16945,9.73034,18.8998,1.10021,999.195,999.857,0.100179,0.225245,0.143617,0.368862,0.0665673,0.121351,0.87527,0.975449,3.13478E-05,0.875239,0.148364,0.726875,0,0.996418,0.219201,4.36924E-07,1.45516E-13,8.50223E-14,0.170918,0,0.0213266,0.202338,0.23372,0.215975,0.196107,0.15186,0.204467,0.239564,0.214801,0.193735,0.147433,1,1,0,2.0008E-07,0.996418,4.36924E-07,1.45516E-13,0.00301972,0.0005617
"MODRA CM 0.25 PCPM 5 DM 2","2.737E-08","0.9347","216","DDoesntAnswer",2E-11,0,1,0.750902,1,0,1,1,0.124761,4.25451,3.13478,0.716094,0.155699,0.142184,0.129004,0.119642,0.113988,0.111945,0.113041,0.114495,1,1,,,,,0,,,,,0,0,0,,10.975,7.99997,18.975,1.02503,1000.16,989.999,0.025,1.82908,0,1.82908,3.48725,0,0.87527,0.90027,3.13478E-05,0.875239,0.148364,0.726875,0,0,,0,0,0,0.170918,0,0.0213266,0.202338,0.23372,0.215975,0.196107,0.15186,0.204467,0.239564,0.214801,0.193735,0.147433,1,0,0,1,0,0,0,0,0
"MODRA CM 0.25 PCPM 5 DM 2","2.737E-08","0.9347","216","D Answers",8E-05,0,1,0.750902,1,1,1,1,0.124761,4.25451,3.13478,0.716094,0.155699,0.142184,0.129004,0.119642,0.113988,0.111945,0.113041,0.114495,1,1,0.103085,0.116764,,,0.996418,,,,,4.36925E-07,1.45516E-13,0.003581,0.156829,9.16945,9.73034,18.8998,1.10021,999.195,999.857,0.100179,0.225245,0.143617,0.368862,0.0665666,0.121351,0.87527,0.975449,3.13478E-05,0.875239,0.148364,0.726875,0,0.996418,0.219201,4.36925E-07,1.45516E-13,8.50223E-14,0.170918,0,0.0213266,0.202338,0.23372,0.215975,0.196107,0.15186,0.204467,0.239564,0.214801,0.193735,0.147433,1,1,0,0,0.996418,4.36925E-07,1.45516E-13,0.00301972,0.0005617
"MODRA CM 0.25 PCPM 5 DM 2","2.737E-08","0.9347","216","Settles1",8E-05,0,1,0.751292,1,1,1,1,0.124819,4.25646,3.13886,0.71581,0.156112,0.142234,0.128525,0.118976,0.113724,0.112125,0.113404,0.114901,1,1,0.102377,0.116824,,,1,,,,,0,0,0,,9.1692,9.73077,18.9,1.10003,999.196,999.864,0.1,0.224812,0.143998,0.36881,0.0648199,0.121642,0.875212,0.975212,3.13886E-05,0.875181,0.148656,0.726525,0,1,0.219201,0,0,0,0.171261,0,0.01006,0.203066,0.23456,0.216751,0.193779,0.151844,0.201608,0.240425,0.215573,0.194431,0.147963,1,1,0,0,1,0,0,0,0
"MODRA CM 0.25 PCPM 5 DM 2","2.737E-08","0.9347","216","DoesntSettle1",2.9E-7,0,1,0.642454,1,1,1,1,0.108568,3.71227,2.00024,0.795079,0.0409443,0.128351,0.262326,0.30518,0.187637,0.061841,0.0120753,0.00164571,1,1,0.300072,0.100006,,,0,,,,,0.000121984,4.06261E-11,0.999878,0.156829,9.23862,9.61136,18.85,1.15001,998.831,998.148,0.149994,0.345586,0.0377642,0.38335,0.552461,0.0405965,0.891452,1.04145,2.00024E-05,0.891432,0.0672734,0.824159,0,0,,0.000121984,4.06261E-11,2.37372E-11,0.0755256,0,3.15554,4.38075E-05,5.06739E-05,4.71881E-05,0.843609,0.15625,0.999819,5.01101E-05,5.01454E-05,4.81031E-05,3.29424E-05,1,1,0,0,0,0.000121984,4.06261E-11,0.843068,0.15681
"MODRA CM 0.25 PCPM 5 DM 2","2.737E-08","0.9347","216","PAbandons1",4E-11,0,1,0.549706,1,1,1,1,0.124509,3.24853,3.35294,0.586959,0.259728,0.212417,0.157516,0.110708,0.0804287,0.0645212,0.0581307,0.0565503,1,1,0.606766,0.114516,,,0,,,,,1,0,0,,8.95,9.94997,18.9,1.10003,998.663,999.98,0.1,0.0497646,0.0049436,0.0547082,0.00248823,0.00519074,0.875524,0.975524,3.35294E-05,0.875491,0.00413499,0.871356,0,0,,1,0,9.72963E-08,0.00470816,0,-0.355185,0.359125,0.415414,0.070283,0.084884,0.0702933,0.299673,0.253949,0.225681,0.141111,0.079587,1,1,0,0,0,1,0,0,0
"MODRA CM 0.25 PCPM 5 DM 2","2.737E-08","0.9347","216","PDoesntAbandon1",2.9E-7,0,1,0.642465,1,1,1,1,0.108566,3.71232,2.00007,0.795105,0.0409176,0.128341,0.262338,0.305204,0.18765,0.0618407,0.0120697,0.00163901,1,1,0.300034,0.100004,,,0,,,,,0,4.06311E-11,1,0.156829,9.23866,9.61132,18.85,1.15002,998.831,998.147,0.15,0.345622,0.0377682,0.38339,0.552528,0.0406008,0.891454,1.04145,2.00007E-05,0.891434,0.0672811,0.824153,0,0,,0,4.06311E-11,1.187E-11,0.0755343,0,3.15597,3.25404E-11,3.80264E-11,3.86194E-05,0.843701,0.15626,0.999904,1.91348E-05,2.26188E-05,3.08937E-05,2.32369E-05,1,1,0,0,0,0,4.06311E-11,0.843171,0.156829
"MODRA CM 0.25 PCPM 5 DM 2","2.737E-08","0.9347","216","DDefaults1",1E-17,0,1,0.955609,1,1,1,1,0.117638,5.27804,2.38224,0.902803,0.083875,0.0841311,0.0889468,0.0989051,0.113573,0.137282,0.174406,0.218881,1,1,0.64574,0.174196,,,0,,,,,0,1,0,,10.95,7.94998,18.9,1.10002,1000.16,988.928,0.1,1.63467,0,1.63467,2.91499,0,0.882386,0.982386,2.38224E-05,0.882362,0.3699,0.512463,0,0,,0,1,0.292142,0.415326,0,0.0677888,0.104707,0.127263,0.229435,0.238147,0.300449,0.12526,0.170507,0.179172,0.194517,0.330544,1,1,0,0,0,0,1,0,0
"MODRA CM 0.25 PCPM 5 DM 2","2.737E-08","0.9347","216","DDoesntDefault1",2.9E-7,0,1,0.642465,1,1,1,1,0.108566,3.71232,2.00007,0.795105,0.0409176,0.128341,0.262338,0.305204,0.18765,0.0618407,0.0120697,0.00163901,1,1,0.300034,0.100004,,,0,,,,,0,0,1,0.156829,9.23866,9.61132,18.85,1.15002,998.831,998.147,0.15,0.345622,0.0377682,0.38339,0.552528,0.0406008,0.891454,1.04145,2.00007E-05,0.891434,0.0672811,0.824153,0,0,,0,0,0,0.0755343,0,3.15597,2.8286E-11,3.28556E-11,3.86194E-05,0.843701,0.15626,0.999904,1.91348E-05,2.26188E-05,3.08937E-05,2.32369E-05,1,1,0,0,0,0,0,0.843171,0.156829
"MODRA CM 0.25 PCPM 5 DM 2","2.737E-08","0.9347","216","POrDQuits1",4E-11,0,1,0.549706,1,1,1,1,0.124509,3.24853,3.35294,0.586959,0.259728,0.212417,0.157516,0.110708,0.0804287,0.0645212,0.0581308,0.0565503,1,1,0.606766,0.114516,,,0,,,,,1,3.33045E-07,0,,8.95,9.94997,18.9,1.10003,998.663,999.98,0.1,0.0497651,0.0049436,0.0547087,0.0024892,0.00519074,0.875524,0.975524,3.35294E-05,0.875491,0.00413511,0.871356,0,0,,1,3.33045E-07,1.94593E-07,0.00470829,0,-0.355185,0.359125,0.415414,0.0702831,0.0848841,0.0702934,0.299673,0.253949,0.225681,0.141111,0.0795871,1,1,0,0,0,1,3.33045E-07,0,0
"MODRA CM 0.25 PCPM 5 DM 2","2.737E-08","0.9347","216","P Loses",2.4E-7,0,1,0.600869,1,1,1,1,0.108517,3.50435,2.00009,0.77322,0.0483513,0.149891,0.294766,0.310008,0.155299,0.0367626,0.00456243,0.000359324,1,1,0.30003,0.100001,,,0,,,,,0,0,1,0,8.925,9.92498,18.85,1.15002,998.585,999.97,0.15,0.0718749,0.044793,0.116668,0.00539062,0.0481525,0.891503,1.0415,2.00009E-05,0.891483,0.0371153,0.854367,0,0,,0,0,0,0.0416679,0,3.13681,3.01375E-11,3.11061E-11,4.24145E-05,0.862892,0.137066,0.999913,2.00938E-05,2.2099E-05,2.51181E-05,1.96445E-05,1,1,0,0,0,0,0,1,0
"MODRA CM 0.25 PCPM 5 DM 2","2.737E-08","0.9347","216","P Wins",4.5E-8,0,1,0.866098,1,1,1,1,0.108826,4.83049,2,0.912765,0.000951319,0.0124765,0.0879952,0.279376,0.36158,0.19667,0.0524315,0.00851907,1,1,0.300058,0.10002,,,0,,,,,0,0,1,1,10.925,7.92498,18.85,1.15002,1000.16,988.349,0.15,1.81739,0,1.81739,3.49415,0,0.891194,1.04119,2E-05,0.891174,0.229464,0.66171,0,0,,0,0,0,0.257612,0,3.25902,1.83314E-11,4.22617E-11,1.82153E-05,0.740526,0.259456,0.999856,1.39786E-05,2.54132E-05,6.19454E-05,4.25513E-05,1,1,0,0,0,0,0,0,1
